DATE,TMHSI,TMHI,DthMHSI,DthMHI,SpdMHSI,SpdMHI,,,,,,,
10-7-2021-12:24:55,39.19712,86.41492,3.246739,10.65203,0.0,0.0,,,,,,,
10-7-2021-12:24:56,38.94563,85.86047,3.246739,10.65203,0.0,0.0,,,,,,,
10-7-2021-12:24:57,38.94563,85.86047,3.246739,10.65203,0.0,0.0,,,,,,,
10-7-2021-12:24:58,35.80171,78.92932,3.250809,10.66538,2.93037e-1,9.61407e-1,,,,,,,
10-7-2021-12:24:59,30.5199,67.28491,3.342247,10.96538,7.911993,25.95798,,,,,,,
10-7-2021-12:25:00,33.78956,74.49329,3.460819,11.35439,6.284011,20.61683,,,,,,,
10-7-2021-12:25:01,28.00477,61.73999,3.515898,11.5351,0.0,0.0,,,,,,,
10-7-2021-12:25:02,36.0532,79.48376,3.515898,11.5351,0.0,0.0,,,,,,,
10-7-2021-12:25:03,36.0532,79.48376,3.515898,11.5351,0.0,0.0,,,,,,,
10-7-2021-12:25:04,35.80171,78.92932,3.515898,11.5351,0.0,0.0,,,,,,,
10-7-2021-12:25:05,36.17894,79.76099,3.515898,11.5351,0.0,0.0,,,,,,,
10-7-2021-12:25:06,35.67596,78.6521,3.515898,11.5351,0.0,0.0,,,,,,,
10-7-2021-12:25:07,35.55016,78.37476,3.535434,11.59919,6.51193e-1,2.13646,,,,,,,
10-7-2021-12:25:08,34.29259,75.60229,3.643424,11.95349,6.479369,21.25777,,,,,,,
10-7-2021-12:25:09,33.16077,73.10706,3.876768,12.71906,13.47969,44.22471,,,,,,,
10-7-2021-12:25:10,32.15475,70.88916,4.188798,13.74277,18.0706,59.28675,,,,,,,
10-7-2021-12:25:11,32.78354,72.27539,4.513309,14.80744,18.91715,62.06414,,,,,,,
10-7-2021-12:25:12,33.41232,73.66162,4.819912,15.81336,17.38685,57.04346,,,,,,,
10-7-2021-12:25:13,33.28658,73.3844,5.147137,16.88693,19.21019,63.02555,,,,,,,
10-7-2021-12:25:14,33.16077,73.10706,5.46595,17.93291,18.59155,60.99591,,,,,,,
10-7-2021-12:25:15,31.14868,68.67114,5.909303,19.38748,26.40587,86.63343,,,,,,,
10-7-2021-12:25:16,31.27443,68.94836,6.32878,20.76371,25.0058,82.04004,,,,,,,
10-7-2021-12:25:17,34.16685,75.32507,6.759382,22.17645,25.20116,82.68098,,,,,,,
10-7-2021-12:25:19,31.90321,70.33459,7.204635,23.63725,26.14539,85.77885,,,,,,,
10-7-2021-12:25:20,32.15475,70.88916,7.640934,25.06868,25.23372,82.7878,,,,,,,
10-7-2021-12:25:21,31.90321,70.33459,8.085916,26.52859,26.43843,86.74025,,,,,,,
10-7-2021-12:25:22,37.05928,81.70178,8.332827,27.33867,19.27531,63.2392,,,,,,,
10-7-2021-12:25:23,37.56231,82.81079,8.332827,27.33867,0.0,0.0,,,,,,,
10-7-2021-12:25:24,37.05928,81.70178,8.332827,27.33867,0.0,0.0,,,,,,,
10-7-2021-12:25:25,37.68806,83.08801,8.332827,27.33867,0.0,0.0,,,,,,,
10-7-2021-12:25:26,37.43651,82.53345,8.332827,27.33867,0.0,0.0,,,,,,,
10-7-2021-12:25:27,37.68806,83.08801,8.332827,27.33867,0.0,0.0,,,,,,,
10-7-2021-12:25:28,37.93955,83.64246,8.332827,27.33867,0.0,0.0,,,,,,,
10-7-2021-12:25:29,38.0653,83.91968,8.332827,27.33867,0.0,0.0,,,,,,,
10-7-2021-12:25:30,38.0653,83.91968,8.332827,27.33867,0.0,0.0,,,,,,,
10-7-2021-12:25:31,37.56231,82.81079,8.332827,27.33867,0.0,0.0,,,,,,,
10-7-2021-12:25:32,37.68806,83.08801,8.332827,27.33867,0.0,0.0,,,,,,,
10-7-2021-12:25:33,37.56231,82.81079,8.332827,27.33867,0.0,0.0,,,,,,,
10-7-2021-12:25:34,37.93955,83.64246,8.332827,27.33867,0.0,0.0,,,,,,,
