DATE,TMHSI,TMHI,DthMHSI,DthMHI,SpdMHSI,SpdMHI,,,,,,,
10-7-2021-16:36:12,23.72903,52.3136,1.37564e-1,4.51327e-1,0.0,0.0,,,,,,,
10-7-2021-16:36:13,23.72903,52.3136,1.37564e-1,4.51327e-1,0.0,0.0,,,,,,,
10-7-2021-16:36:14,24.35781,53.69983,1.37564e-1,4.51327e-1,0.0,0.0,,,,,,,
10-7-2021-16:36:15,22.72296,50.09558,2.08924e-1,6.85447e-1,7.879433,25.85116,,,,,,,
10-7-2021-16:36:16,19.2018,42.33276,5.86074e-1,1.922813,26.82914,88.02213,,,,,,,
10-7-2021-16:36:17,21.84268,48.15491,1.192226,3.911501,36.43424,119.5349,,,,,,,
10-7-2021-16:36:18,19.70484,43.44177,1.779113,5.836985,35.09929,115.1552,,,,,,,
10-7-2021-16:36:19,22.09417,48.70935,2.412398,7.914692,36.95519,121.2441,,,,,,,
10-7-2021-16:36:20,24.60936,54.25439,3.180806,10.43571,46.6254,152.9705,,,,,,,
10-7-2021-16:36:21,22.84875,50.37292,4.07511,13.36978,54.79788,179.7831,,,,,,,
10-7-2021-16:36:22,20.83661,45.93689,4.984338,16.35282,52.29079,171.5577,,,,,,,
10-7-2021-16:36:23,22.72296,50.09558,5.89221,19.3314,54.11412,177.5398,,,,,,,
10-7-2021-16:36:24,21.2139,46.76868,6.789499,22.27526,53.03966,174.0146,,,,,,,
10-7-2021-16:36:25,22.21997,48.98669,7.701983,25.26897,52.32334,171.6645,,,,,,,
10-7-2021-16:36:26,22.59721,49.81836,8.597645,28.20749,54.049,177.3261,,,,,,,
10-7-2021-16:36:27,22.21997,48.98669,9.504702,31.1834,54.27692,178.0739,,,,,,,
10-7-2021-16:36:28,23.35174,51.48181,10.34393,33.93677,49.2953,161.73,,,,,,,
10-7-2021-16:36:29,21.71694,47.87769,11.14869,36.57708,49.55577,162.5845,,,,,,,
10-7-2021-16:36:30,21.71694,47.87769,11.96431,39.25299,47.63476,156.282,,,,,,,
10-7-2021-16:36:31,22.59721,49.81836,12.78671,41.95116,47.40684,155.5342,,,,,,,
10-7-2021-16:36:32,22.34572,49.26392,13.61481,44.66803,49.03482,160.8754,,,,,,,
10-7-2021-16:36:33,22.34572,49.26392,14.41551,47.29498,48.35107,158.6321,,,,,,,
10-7-2021-16:36:34,19.83059,43.71899,15.14593,49.69138,41.8717,137.3743,,,,,,,
10-7-2021-16:36:35,23.22599,51.20459,15.82317,51.91329,40.14604,131.7127,,,,,,,
10-7-2021-16:36:36,22.34572,49.26392,16.51099,54.16993,40.47163,132.7809,,,,,,,
10-7-2021-16:36:37,22.72296,50.09558,17.20479,56.44615,39.29948,128.9353,,,,,,,
10-7-2021-16:36:38,21.84268,48.15491,17.89125,58.69833,39.5274,129.6831,,,,,,,
10-7-2021-16:36:39,23.35174,51.48181,18.58803,60.98434,39.26693,128.8285,,,,,,,
10-7-2021-16:36:40,22.9745,50.65015,19.27178,63.22763,39.23436,128.7217,,,,,,,
10-7-2021-16:36:41,22.34572,49.26392,19.94549,65.43797,38.68085,126.9057,,,,,,,
10-7-2021-16:36:43,23.85478,52.59082,20.28276,66.54448,19.11251,62.70508,,,,,,,
10-7-2021-16:36:44,28.13051,62.01721,20.28276,66.54448,0.0,0.0,,,,,,,
10-7-2021-16:36:45,27.62747,60.9082,20.28276,66.54448,0.0,0.0,,,,,,,
10-7-2021-16:36:46,27.75327,61.18555,20.28629,66.55605,0.0,0.0,,,,,,,
10-7-2021-16:36:47,22.72296,50.09558,20.40838,66.95663,6.446809,21.15095,,,,,,,
10-7-2021-16:36:48,25.74113,56.74951,20.89434,68.55097,29.85719,97.95667,,,,,,,
10-7-2021-16:36:49,18.82451,41.50098,21.68282,71.13786,47.37428,155.4274,,,,,,,
10-7-2021-16:36:50,19.83059,43.71899,22.68512,74.42623,57.56544,188.863,,,,,,,
10-7-2021-16:36:51,22.72296,50.09558,23.73245,77.86237,58.47712,191.854,,,,,,,
10-7-2021-16:36:52,24.60936,54.25439,24.75672,81.22285,58.93295,193.3496,,,,,,,
10-7-2021-16:36:53,19.83059,43.71899,25.90445,84.98836,68.76596,225.6101,,,,,,,
10-7-2021-16:36:54,17.81844,39.28296,27.03807,88.70757,66.45423,218.0257,,,,,,,
10-7-2021-16:36:55,21.96843,48.43213,28.1877,92.47932,67.0403,219.9485,,,,,,,
10-7-2021-16:36:56,21.2139,46.76868,29.33135,96.23147,67.30078,220.8031,,,,,,,
10-7-2021-16:36:57,25.23814,55.64063,30.58381,100.3406,110.7679,363.4117,,,,,,,
10-7-2021-16:36:58,29.63962,65.34424,31.31315,102.7334,47.01612,154.2524,,,,,,,
10-7-2021-16:36:59,33.53807,73.93884,31.35059,102.8563,1.107028,3.631981,,,,,,,
10-7-2021-16:37:00,26.36991,58.13574,31.35059,102.8563,0.0,0.0,,,,,,,
10-7-2021-16:37:01,25.23814,55.64063,31.35059,102.8563,0.0,0.0,,,,,,,
10-7-2021-16:37:02,25.36389,55.91785,31.39292,102.9951,2.27917e-1,7.47761e-1,,,,,,,
10-7-2021-16:37:03,18.57302,40.94653,32.01454,105.0346,28.09897,92.18822,,,,,,,
10-7-2021-16:37:04,19.83059,43.71899,33.29983,109.2514,75.34301,247.1884,,,,,,,
10-7-2021-16:37:05,18.82451,41.50098,34.61768,113.5751,76.84076,252.1022,,,,,,,
10-7-2021-16:37:06,18.82451,41.50098,35.91817,117.8418,76.74308,251.7818,,,,,,,
10-7-2021-16:37:07,18.82451,41.50098,37.23358,122.1574,76.61284,251.3545,,,,,,,
10-7-2021-16:37:08,20.08208,44.27344,38.53488,126.4268,76.41747,250.7135,,,,,,,
10-7-2021-16:37:09,24.10632,53.14539,39.853,130.7513,77.55707,254.4523,,,,,,,
