DATE,TMHSI,TMHI,DthMHSI,DthMHI,SpdMHSI,SpdMHI,,,,,,,
10-7-2021-11:36:29,39.07137,86.1377,-6.349673,-20.83226,0.0,0.0,,,,,,,
10-7-2021-11:36:30,38.44258,84.75146,-6.349673,-20.83226,0.0,0.0,,,,,,,
10-7-2021-11:36:31,38.56833,85.02869,-6.349673,-20.83226,0.0,0.0,,,,,,,
10-7-2021-11:36:32,39.8259,87.80115,-6.349673,-20.83226,0.0,0.0,,,,,,,
10-7-2021-11:36:33,37.31076,82.25623,-6.349673,-20.83226,0.0,0.0,,,,,,,
10-7-2021-11:36:34,37.31076,82.25623,-6.349673,-20.83226,0.0,0.0,,,,,,,
10-7-2021-11:36:35,37.8138,83.36523,-6.349673,-20.83226,0.0,0.0,,,,,,,
10-7-2021-11:36:36,37.31076,82.25623,-6.348858,-20.82959,3.25596e-2,1.06823e-1,,,,,,,
10-7-2021-11:36:37,36.43049,80.31555,-6.336106,-20.78775,2.60477e-1,8.54584e-1,,,,,,,
10-7-2021-11:36:38,34.0411,75.04785,-6.326067,-20.75481,3.25596e-1,1.06823,,,,,,,
10-7-2021-11:36:39,32.65779,71.99817,-6.31033,-20.70318,7.81431e-1,2.563751,,,,,,,
10-7-2021-11:36:40,33.28658,73.3844,-6.242226,-20.47974,4.167634,13.67334,,,,,,,
10-7-2021-11:36:41,32.78354,72.27539,-6.113887,-20.05868,6.38169,20.9373,,,,,,,
10-7-2021-11:36:42,32.15475,70.88916,-5.882442,-19.29935,13.77273,45.18612,,,,,,,
10-7-2021-11:36:43,31.52597,69.50293,-5.603243,-18.38334,16.57286,54.37289,,,,,,,
10-7-2021-11:36:44,31.65172,69.78015,-5.270592,-17.29197,20.02418,65.69612,,,,,,,
10-7-2021-11:36:45,33.03503,72.82983,-4.921932,-16.14807,20.67537,67.83259,,,,,,,
10-7-2021-11:36:46,31.77746,70.05737,-4.574087,-15.00685,20.70793,67.93941,,,,,,,
10-7-2021-11:36:47,31.65172,69.78015,-4.102515,-13.45969,27.96873,91.76093,,,,,,,
10-7-2021-11:36:49,30.39415,67.00769,-3.624702,-11.89207,28.55481,93.68375,,,,,,,
10-7-2021-11:36:50,32.65779,71.99817,-3.149331,-10.33245,28.61993,93.89739,,,,,,,
10-7-2021-11:36:51,31.65172,69.78015,-2.68617,-8.812895,27.61057,90.58588,,,,,,,
10-7-2021-11:36:52,32.2805,71.16638,-2.215412,-7.268413,27.64314,90.6927,,,,,,,
10-7-2021-11:36:53,31.52597,69.50293,-1.798106,-5.899299,25.13604,82.46733,,,,,,,
10-7-2021-11:36:54,31.77746,70.05737,-1.497472,-4.912966,17.64733,57.89805,,,,,,,
10-7-2021-11:36:55,30.77144,67.83948,-1.115168,-3.658687,24.02901,78.83535,,,,,,,
10-7-2021-11:36:56,31.65172,69.78015,-6.89179e-1,-2.261086,25.42908,83.42874,,,,,,,
10-7-2021-11:36:57,31.27443,68.94836,-2.45825e-1,-8.06513e-1,25.07092,82.25368,,,,,,,
10-7-2021-11:36:58,32.15475,70.88916,2.4067e-1,7.896e-1,28.78272,94.4315,,,,,,,
10-7-2021-11:36:59,31.27443,68.94836,7.49414e-1,2.458709,29.59671,97.10208,,,,,,,
10-7-2021-11:37:00,31.27443,68.94836,1.325177,4.347695,32.95036,108.1048,,,,,,,
10-7-2021-11:37:01,31.77746,70.05737,1.898498,6.228669,33.17827,108.8526,,,,,,,
10-7-2021-11:37:02,29.63962,65.34424,2.528256,8.294804,33.60155,110.2413,,,,,,,
10-7-2021-11:37:03,30.64564,67.56213,3.1184,10.23097,34.87138,114.4074,,,,,,,
10-7-2021-11:37:04,31.77746,70.05737,3.740017,12.2704,36.82495,120.8168,,,,,,,
