DATE,TMHSI,TMHI,DthMHSI,DthMHI,SpdMHSI,SpdMHI,,,,,,,
10-7-2021-9:25:54,37.05928,81.70178,285.1267,935.455,58.44456,191.7472,,,,,,,
10-7-2021-9:25:55,35.80171,78.92932,286.1534,938.8235,59.32367,194.6315,,,,,,,
10-7-2021-9:25:56,37.18502,81.979,287.1437,942.0726,82.01773,269.087,,,,,,,
10-7-2021-9:25:57,36.93353,81.42456,288.1496,945.3726,58.70504,192.6018,,,,,,,
10-7-2021-9:25:58,38.56833,85.02869,289.1445,948.6369,60.85397,199.6521,,,,,,,
10-7-2021-9:25:59,35.29867,77.82031,290.1609,951.9716,59.61671,195.5929,,,,,,,
10-7-2021-9:26:00,37.43651,82.53345,291.163,955.259,59.68182,195.8065,,,,,,,
10-7-2021-9:26:01,36.0532,79.48376,292.1601,958.5305,58.67247,192.495,,,,,,,
10-7-2021-9:26:02,35.29867,77.82031,293.1749,961.8598,58.34688,191.4268,,,,,,,
10-7-2021-9:26:03,37.43651,82.53345,294.1628,965.101,58.34688,191.4268,,,,,,,
10-7-2021-9:26:04,36.55624,80.59277,295.1705,968.4072,58.44456,191.7472,,,,,,,
10-7-2021-9:26:05,36.30474,80.03833,296.1671,971.6769,59.90974,196.5543,,,,,,,
10-7-2021-9:26:06,37.56231,82.81079,297.1811,975.0035,59.25855,194.4178,,,,,,,
10-7-2021-9:26:07,36.55624,80.59277,298.1823,978.2883,60.36557,198.0498,,,,,,,
10-7-2021-9:26:08,35.55016,78.37476,299.2066,981.6488,59.4539,195.0587,,,,,,,
10-7-2021-9:26:09,34.54414,76.15686,300.2102,984.9416,60.30046,197.8362,,,,,,,
10-7-2021-9:26:10,36.68198,80.87,301.2195,988.2531,59.7795,196.127,,,,,,,
10-7-2021-9:26:11,36.68198,80.87,302.2821,991.7391,59.25855,194.4178,,,,,,,
10-7-2021-9:26:12,35.55016,78.37476,303.2827,995.0222,60.23534,197.6225,,,,,,,
10-7-2021-9:26:13,37.93955,83.64246,304.3008,998.3621,59.16087,194.0973,,,,,,,
10-7-2021-9:26:14,37.68806,83.08801,305.2985,1001.635,61.17957,200.7204,,,,,,,
10-7-2021-9:26:15,35.17292,77.54309,306.3271,1005.01,58.77015,192.8155,,,,,,,
10-7-2021-9:26:16,36.93353,81.42456,307.3307,1008.303,60.43069,198.2634,,,,,,,
10-7-2021-9:26:17,37.68806,83.08801,308.3447,1011.63,60.26789,197.7293,,,,,,,
10-7-2021-9:26:18,37.68806,83.08801,309.3508,1014.93,59.38879,194.8451,,,,,,,
10-7-2021-9:26:19,36.30474,80.03833,310.393,1018.35,59.4539,195.0587,,,,,,,
10-7-2021-9:26:20,36.93353,81.42456,311.4094,1021.684,59.09575,193.8837,,,,,,,
10-7-2021-9:26:21,36.17894,79.76099,312.4184,1024.995,60.59349,198.7975,,,,,,,
10-7-2021-9:26:22,38.44258,84.75146,313.44,1028.346,59.29111,194.5246,,,,,,,
10-7-2021-9:26:23,38.0653,83.91968,314.4491,1031.657,61.40748,201.4681,,,,,,,
10-7-2021-9:26:24,35.04718,77.26587,315.4677,1034.999,59.4539,195.0587,,,,,,,
10-7-2021-9:26:25,34.54414,76.15686,316.4821,1038.327,61.50516,201.7886,,,,,,,
10-7-2021-9:26:26,35.29867,77.82031,317.4918,1041.64,58.86783,193.1359,,,,,,,
10-7-2021-9:26:27,36.93353,81.42456,318.4925,1044.923,61.60284,202.1091,,,,,,,
10-7-2021-9:26:28,37.56231,82.81079,319.3919,1047.874,53.39782,175.1897,,,,,,,
10-7-2021-9:26:29,36.30474,80.03833,320.2289,1050.62,50.95584,167.1779,,,,,,,
10-7-2021-9:26:30,42.71832,94.17786,320.8281,1052.585,35.00161,114.8347,,,,,,,
10-7-2021-9:26:31,44.22738,97.50476,321.114,1053.524,13.67505,44.86565,,,,,,,
10-7-2021-9:26:32,44.98196,99.16833,321.1208,1053.546,3.25596e-2,1.06823e-1,,,,,,,
10-7-2021-9:26:33,45.86224,101.109,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:35,46.49102,102.4952,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:36,45.98798,101.3862,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:37,45.73649,100.8318,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:38,45.86224,101.109,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:39,45.86224,101.109,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:40,45.48495,100.2772,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:41,45.48495,100.2772,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:42,45.73649,100.8318,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:43,45.73649,100.8318,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:44,46.36528,102.218,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:45,45.86224,101.109,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:46,45.86224,101.109,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:47,45.98798,101.3862,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:48,45.3592,100.0,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:49,45.23346,99.72278,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:50,45.3592,100.0,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:51,44.85616,98.89099,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:52,45.73649,100.8318,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:53,45.48495,100.2772,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:54,45.73649,100.8318,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:55,45.48495,100.2772,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:56,45.48495,100.2772,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:57,45.48495,100.2772,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:58,44.98196,99.16833,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:59,45.23346,99.72278,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:00,45.86224,101.109,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:01,45.3592,100.0,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:02,44.85616,98.89099,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:03,45.23346,99.72278,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:04,45.73649,100.8318,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:05,45.3592,100.0,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:06,45.3592,100.0,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:07,45.73649,100.8318,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:08,45.73649,100.8318,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:09,45.98798,101.3862,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:10,45.23346,99.72278,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:11,45.48495,100.2772,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:12,45.3592,100.0,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:13,45.48495,100.2772,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:14,45.73649,100.8318,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:15,44.85616,98.89099,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:16,45.73649,100.8318,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:17,45.86224,101.109,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:19,45.48495,100.2772,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:20,44.85616,98.89099,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:21,44.98196,99.16833,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:22,45.3592,100.0,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:23,45.3592,100.0,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:24,45.48495,100.2772,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:25,45.48495,100.2772,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:26,45.23346,99.72278,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:27,45.23346,99.72278,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:27:28,45.3592,100.0,321.1211,1053.547,0.0,0.0,,,,,,,
10-7-2021-9:27:29,46.99406,103.6042,321.1208,1053.546,-3.25596e-2,-1.06823e-1,,,,,,,
10-7-2021-9:27:30,45.98798,101.3862,321.1213,1053.548,3.25596e-2,1.06823e-1,,,,,,,
10-7-2021-9:27:31,44.47893,98.05933,321.1224,1053.551,0.0,0.0,,,,,,,
10-7-2021-9:27:32,43.47285,95.84131,321.1639,1053.688,4.493231,14.74157,,,,,,,
10-7-2021-9:27:33,41.5865,91.68262,321.3881,1054.423,14.26112,46.78846,,,,,,,
10-7-2021-9:27:34,42.34103,93.34607,321.8336,1055.885,32.13636,105.4343,,,,,,,
10-7-2021-9:27:35,43.34711,95.56409,322.4832,1058.016,37.76918,123.9146,,,,,,,
10-7-2021-9:27:36,40.07745,88.35571,323.2125,1060.408,47.08124,154.466,,,,,,,
10-7-2021-9:27:37,38.44258,84.75146,323.937,1062.785,43.7276,143.4633,,,,,,,
10-7-2021-9:27:38,42.46683,93.62341,324.6598,1065.157,60.98421,200.0794,,,,,,,
10-7-2021-9:27:39,40.58048,89.46472,325.4336,1067.696,43.59736,143.0359,,,,,,,
10-7-2021-9:27:40,36.30474,80.03833,326.2799,1070.472,48.38363,158.7389,,,,,,,
10-7-2021-9:27:41,37.68806,83.08801,327.1815,1073.43,54.83044,179.8899,,,,,,,
10-7-2021-9:27:42,38.1911,84.19702,328.1179,1076.502,54.43972,178.608,,,,,,,
10-7-2021-9:27:43,38.44258,84.75146,329.0746,1079.641,57.30497,188.0084,,,,,,,
10-7-2021-9:27:44,37.56231,82.81079,330.0321,1082.783,56.78401,186.2993,,,,,,,
10-7-2021-9:27:45,37.05928,81.70178,331.01,1085.991,57.63057,189.0767,,,,,,,
10-7-2021-9:27:46,36.17894,79.76099,331.9732,1089.151,56.81657,186.4061,,,,,,,
10-7-2021-9:27:47,38.56833,85.02869,332.9565,1092.377,57.79337,189.6108,,,,,,,
10-7-2021-9:27:48,38.94563,85.86047,333.917,1095.528,57.37009,188.2221,,,,,,,
10-7-2021-9:27:49,36.17894,79.76099,334.8971,1098.744,56.3933,185.0174,,,,,,,
10-7-2021-9:27:50,41.96379,92.5144,335.8581,1101.897,57.63057,189.0767,,,,,,,
10-7-2021-9:27:51,37.93955,83.64246,336.8398,1105.117,56.32818,184.8037,,,,,,,
10-7-2021-9:27:52,38.0653,83.91968,337.8036,1108.279,59.51902,195.2724,,,,,,,
10-7-2021-9:27:53,37.56231,82.81079,338.7836,1111.495,56.91425,186.7265,,,,,,,
10-7-2021-9:27:54,40.95772,90.29639,339.7658,1114.717,96.11606,315.3414,,,,,,,
10-7-2021-9:27:55,39.44866,86.96948,340.7473,1117.937,58.47712,191.854,,,,,,,
10-7-2021-9:27:56,40.45468,89.18738,341.7094,1121.094,57.43521,188.4357,,,,,,,
10-7-2021-9:27:57,39.44866,86.96948,342.6886,1124.306,63.78434,209.2662,,,,,,,
10-7-2021-9:27:58,39.44866,86.96948,343.6526,1127.469,56.91425,186.7265,,,,,,,
10-7-2021-9:27:59,39.95164,88.07837,344.6443,1130.723,58.99807,193.5632,,,,,,,
10-7-2021-9:28:00,38.56833,85.02869,345.6136,1133.903,56.3933,185.0174,,,,,,,
10-7-2021-9:28:02,39.57441,87.2467,346.6009,1137.142,57.72824,189.3971,,,,,,,
10-7-2021-9:28:03,38.94563,85.86047,347.5666,1140.31,56.3933,185.0174,,,,,,,
10-7-2021-9:28:04,38.56833,85.02869,348.5995,1143.699,58.63992,192.3882,,,,,,,
10-7-2021-9:28:05,36.55624,80.59277,349.5665,1146.872,57.33753,188.1152,,,,,,,
10-7-2021-9:28:06,36.80773,81.14722,350.549,1150.095,58.73759,192.7086,,,,,,,
10-7-2021-9:28:07,35.42442,78.09753,351.5177,1153.273,57.23985,187.7948,,,,,,,
10-7-2021-9:28:08,39.57441,87.2467,352.5151,1156.546,57.07705,187.2607,,,,,,,
10-7-2021-9:28:09,37.8138,83.36523,353.4816,1159.716,57.27241,187.9016,,,,,,,
10-7-2021-9:28:10,38.31684,84.47424,354.4673,1162.951,56.88169,186.6197,,,,,,,
10-7-2021-9:28:11,38.1911,84.19702,355.436,1166.129,57.37009,188.2221,,,,,,,
10-7-2021-9:28:12,37.8138,83.36523,356.5408,1169.753,58.37944,191.5336,,,,,,,
10-7-2021-9:28:13,39.19712,86.41492,357.5138,1172.946,56.75146,186.1924,,,,,,,
10-7-2021-9:28:14,41.20927,90.85095,358.4966,1176.17,58.73759,192.7086,,,,,,,
10-7-2021-9:28:15,41.20927,90.85095,359.4682,1179.358,56.91425,186.7265,,,,,,,
10-7-2021-9:28:16,38.69408,85.30591,360.4464,1182.567,58.41199,191.6404,,,,,,,
10-7-2021-9:28:17,40.45468,89.18738,361.4213,1185.765,57.17473,187.5811,,,,,,,
10-7-2021-9:28:18,37.31076,82.25623,362.4127,1189.018,59.51902,195.2724,,,,,,,
10-7-2021-9:28:19,38.69408,85.30591,363.3878,1192.217,57.43521,188.4357,,,,,,,
10-7-2021-9:28:20,39.57441,87.2467,364.3741,1195.453,59.06319,193.7769,,,,,,,
10-7-2021-9:28:21,40.20319,88.63293,365.3922,1198.793,58.34688,191.4268,,,,,,,
10-7-2021-9:28:22,44.47893,98.05933,366.3855,1202.052,59.22599,194.311,,,,,,,
10-7-2021-9:28:23,39.57441,87.2467,367.3699,1205.282,58.77015,192.8155,,,,,,,
10-7-2021-9:28:24,39.19712,86.41492,368.3426,1208.473,58.11896,190.679,,,,,,,
10-7-2021-9:28:25,39.19712,86.41492,369.3286,1211.708,57.63057,189.0767,,,,,,,
10-7-2021-9:28:26,39.57441,87.2467,370.3035,1214.906,58.02128,190.3585,,,,,,,
10-7-2021-9:28:27,41.20927,90.85095,371.4225,1218.578,57.43521,188.4357,,,,,,,
10-7-2021-9:28:28,41.83805,92.23718,372.3957,1221.771,59.35623,194.7383,,,,,,,
10-7-2021-9:28:29,39.19712,86.41492,373.4146,1225.114,59.48647,195.1656,,,,,,,
10-7-2021-9:28:30,40.70623,89.74194,374.4193,1228.41,61.24469,200.934,,,,,,,
