DATE,TMHSI,TMHI,DthMHSI,DthMHI,SpdMHSI,SpdMHI,,,,,,,
10-7-2021-17:10:30,61.07883,134.6559,-7.666168,-25.15147,0.0,0.0,,,,,,,
10-7-2021-17:10:31,59.94701,132.1606,-7.658299,-25.12565,3.25596e-2,1.06823e-1,,,,,,,
10-7-2021-17:10:32,33.66381,74.21606,-7.596164,-24.9218,3.093166,10.14818,,,,,,,
10-7-2021-17:10:33,20.58512,45.38245,-7.504455,-24.62091,6.056094,19.86907,,,,,,,
10-7-2021-17:10:34,21.46539,47.32312,-7.336501,-24.06989,9.279498,30.44455,,,,,,,
10-7-2021-17:10:35,20.58512,45.38245,-7.153625,-23.4699,10.71212,35.14476,,,,,,,
10-7-2021-17:10:36,26.36991,58.13574,-7.153353,-23.46901,0.0,0.0,,,,,,,
10-7-2021-17:10:37,25.36389,55.91785,-7.153625,-23.4699,-3.25596e-2,-1.06823e-1,,,,,,,
10-7-2021-17:10:38,26.87295,59.24475,-7.162307,-23.49838,0.0,0.0,,,,,,,
10-7-2021-17:10:40,24.60936,54.25439,-7.162307,-23.49838,0.0,0.0,,,,,,,
10-7-2021-17:10:41,24.10632,53.14539,-7.162307,-23.49838,0.0,0.0,,,,,,,
10-7-2021-17:10:42,23.72903,52.3136,-7.162307,-23.49838,0.0,0.0,,,,,,,
10-7-2021-17:10:43,24.23207,53.42261,-7.162307,-23.49838,0.0,0.0,,,,,,,
10-7-2021-17:10:44,24.60936,54.25439,-7.162307,-23.49838,0.0,0.0,,,,,,,
10-7-2021-17:10:45,23.98058,52.86816,-7.162307,-23.49838,0.0,0.0,,,,,,,
10-7-2021-17:10:46,24.48356,53.97705,-7.162307,-23.49838,0.0,0.0,,,,,,,
10-7-2021-17:10:47,24.10632,53.14539,-7.162307,-23.49838,0.0,0.0,,,,,,,
10-7-2021-17:10:48,24.10632,53.14539,-7.162307,-23.49838,0.0,0.0,,,,,,,
10-7-2021-17:10:49,24.48356,53.97705,-7.162307,-23.49838,0.0,0.0,,,,,,,
10-7-2021-17:10:50,24.23207,53.42261,-7.159322,-23.48859,0.0,0.0,,,,,,,
10-7-2021-17:10:51,18.32147,40.39197,-6.953112,-22.81205,12.60058,41.34049,,,,,,,
10-7-2021-17:10:52,20.45937,45.10522,-6.615848,-21.70554,19.63346,64.41425,,,,,,,
10-7-2021-17:10:53,21.2139,46.76868,-6.173308,-20.25364,26.79658,87.9153,,,,,,,
10-7-2021-17:10:54,21.71694,47.87769,-5.727784,-18.79194,26.89426,88.23577,,,,,,,
10-7-2021-17:10:55,21.2139,46.76868,-5.293926,-17.36852,25.52676,83.74921,,,,,,,
10-7-2021-17:10:56,21.2139,46.76868,-4.861969,-15.95134,26.04771,85.45837,,,,,,,
