DATE,TMHSI,TMHI,DthMHSI,DthMHI,SpdMHSI,SpdMHI
10-7-2021-8:27:59,24.10632,53.14539,31.50064,103.3485,65.70536,215.5688
10-7-2021-8:28:00,24.9866,55.08606,32.67062,107.1871,66.09608,216.8506
10-7-2021-8:28:01,23.22599,51.20459,33.78986,110.8591,65.31464,214.2869
10-7-2021-8:28:02,25.86693,57.02686,34.90828,114.5285,65.86815,216.1029
10-7-2021-8:28:03,23.22599,51.20459,36.02372,118.188,65.08672,213.5391
10-7-2021-8:28:04,23.22599,51.20459,37.14756,121.8752,65.50999,214.9278
10-7-2021-8:28:05,25.48963,56.19507,38.26517,125.5419,65.57512,215.1415
10-7-2021-8:28:06,24.9866,55.08606,39.38686,129.222,65.60768,215.2483
10-7-2021-8:28:07,24.48356,53.97705,40.50446,132.8887,66.29143,217.4916
10-7-2021-8:28:08,25.86693,57.02686,41.77891,137.0699,68.53805,224.8624
10-7-2021-8:28:09,24.48356,53.97705,42.90058,140.7499,67.07287,220.0553
10-7-2021-8:28:10,23.72903,52.3136,44.01276,144.3988,65.47744,214.821
10-7-2021-8:28:11,24.48356,53.97705,45.13716,148.0878,66.19375,217.1711
10-7-2021-8:28:12,25.99267,57.30408,46.22818,151.6673,63.0029,206.7024
10-7-2021-8:28:13,22.59721,49.81836,47.23156,154.9592,59.29111,194.5246
10-7-2021-8:28:14,23.72903,52.3136,48.24688,158.2903,60.56093,198.6907
10-7-2021-8:28:15,24.48356,53.97705,49.25758,161.6062,59.06319,193.7769
10-7-2021-8:28:16,26.49571,58.41309,50.26584,164.9142,60.46325,198.3703
10-7-2021-8:28:17,25.48963,56.19507,51.28632,168.2622,58.60735,192.2813
10-7-2021-8:28:18,27.37598,60.35376,52.29241,171.563,60.30046,197.8362
10-7-2021-8:28:19,24.10632,53.14539,53.36932,175.0962,58.60735,192.2813
10-7-2021-8:28:20,24.10632,53.14539,54.37677,178.4015,60.1051,197.1952
10-7-2021-8:28:21,24.9866,55.08606,55.39996,181.7584,58.86783,193.1359
10-7-2021-8:28:22,25.11234,55.36328,56.41256,185.0806,60.26789,197.7293
10-7-2021-8:28:23,24.60936,54.25439,57.42245,188.3939,58.50967,191.9609
10-7-2021-8:28:24,25.11234,55.36328,58.43859,191.7276,59.35623,194.7383
10-7-2021-8:28:26,25.11234,55.36328,59.58713,195.4958,59.19343,194.2042
10-7-2021-8:28:27,24.73511,54.53162,60.60027,198.8198,58.28176,191.2131
10-7-2021-8:28:28,24.9866,55.08606,61.62183,202.1714,59.9423,196.6611
10-7-2021-8:28:29,26.36991,58.13574,62.63335,205.49,59.03063,193.67
10-7-2021-8:28:30,25.86693,57.02686,63.65193,208.8318,59.71438,195.9133
10-7-2021-8:28:31,25.61538,56.47229,64.65694,212.1291,59.38879,194.8451
10-7-2021-8:28:32,24.73511,54.53162,65.66059,215.4219,59.48647,195.1656
10-7-2021-8:28:33,31.77746,70.05737,66.09933,216.8613,29.10832,95.49974
10-7-2021-8:28:34,34.79564,76.7113,66.10584,216.8827,6.51E-02,2.14E-01
10-7-2021-8:28:35,34.66989,76.43408,66.10611,216.8836,3.26E-02,1.07E-01
10-7-2021-8:28:36,34.66989,76.43408,66.10611,216.8836,0,0
10-7-2021-8:28:37,33.78956,74.49329,66.10611,216.8836,0,0
10-7-2021-8:28:38,33.78956,74.49329,66.10611,216.8836,0,0
10-7-2021-8:28:39,33.41232,73.66162,66.10611,216.8836,0,0
10-7-2021-8:28:40,33.41232,73.66162,66.10611,216.8836,0,0
10-7-2021-8:28:41,33.28658,73.3844,66.10747,216.888,6.51E-02,2.14E-01
10-7-2021-8:28:42,30.01686,66.1759,66.14111,216.9984,3.321083,10.89594
10-7-2021-8:28:43,30.5199,67.28491,66.42411,217.9269,20.21954,66.33707
10-7-2021-8:28:44,32.65779,71.99817,66.89867,219.4838,30.28047,99.34536
10-7-2021-8:28:45,27.87902,61.46277,67.6299,221.8829,46.16957,151.475
10-7-2021-8:28:46,27.37598,60.35376,68.43304,224.5179,49.06738,160.9822
10-7-2021-8:28:47,27.12449,59.79932,69.33657,227.4822,53.36525,175.0828
10-7-2021-8:28:48,25.99267,57.30408,70.25557,230.4973,53.39782,175.1897
10-7-2021-8:28:49,26.99869,59.52197,71.15801,233.458,54.08157,177.433
10-7-2021-8:28:50,25.99267,57.30408,72.07728,236.474,52.90942,173.5873
10-7-2021-8:28:51,26.11842,57.5813,72.99166,239.474,54.92811,180.2103
10-7-2021-8:28:52,24.9866,55.08606,73.98283,242.7258,57.66313,189.1835
10-7-2021-8:28:53,23.60328,52.03638,75.20328,246.7299,67.82173,222.5122
10-7-2021-8:28:54,23.10025,50.92737,76.35263,250.5007,66.94262,219.628
10-7-2021-8:28:55,24.10632,53.14539,77.48055,254.2013,65.41232,214.6073
10-7-2021-8:28:56,22.9745,50.65015,78.59763,257.8662,66.38911,217.812
10-7-2021-8:28:57,24.23207,53.42261,79.71224,261.5231,65.83559,215.996
10-7-2021-8:28:58,24.10632,53.14539,80.83473,265.2058,66.77982,219.0939
10-7-2021-8:29:00,23.60328,52.03638,82.11026,269.3906,67.10542,220.1621
10-7-2021-8:29:01,23.47754,51.75916,83.25663,273.1517,67.07287,220.0553
10-7-2021-8:29:02,24.23207,53.42261,84.38074,276.8397,67.17054,220.3758
10-7-2021-8:29:03,23.60328,52.03638,85.49945,280.51,67.23566,220.5894
10-7-2021-8:29:04,23.60328,52.03638,86.6271,284.2096,67.07287,220.0553
10-7-2021-8:29:05,22.59721,49.81836,87.74905,287.8906,67.72405,222.1918
10-7-2021-8:29:06,24.60936,54.25439,88.87859,291.5964,67.78918,222.4054
10-7-2021-8:29:07,27.37598,60.35376,90.02199,295.3477,65.41232,214.6073
10-7-2021-8:29:08,24.73511,54.53162,91.19386,299.1924,67.69149,222.0849
10-7-2021-8:29:09,21.33964,47.0459,92.31798,302.8805,66.81239,219.2007
10-7-2021-8:29:10,24.48356,53.97705,93.44617,306.5819,67.07287,220.0553
10-7-2021-8:29:11,25.86693,57.02686,94.57707,310.2922,65.99839,216.5302
10-7-2021-8:29:12,24.23207,53.42261,95.78097,314.242,70.9149,232.6604
10-7-2021-8:29:13,24.10632,53.14539,96.99734,318.2328,71.59865,234.9037
10-7-2021-8:29:14,24.23207,53.42261,98.24628,322.3303,71.4033,234.2628
10-7-2021-8:29:15,23.22599,51.20459,99.464,326.3255,71.20794,233.6218
10-7-2021-8:29:16,22.72296,50.09558,100.7471,330.5352,71.63121,235.0105
10-7-2021-8:29:17,23.10025,50.92737,101.9578,334.5072,72.70568,238.5357
10-7-2021-8:29:18,22.9745,50.65015,103.1807,338.5193,72.70568,238.5357
10-7-2021-8:29:19,21.2139,46.76868,104.3941,342.5002,72.83591,238.963
10-7-2021-8:29:20,22.21997,48.98669,105.6072,346.4803,71.85912,235.7583
10-7-2021-8:29:21,22.59721,49.81836,106.8331,350.5022,71.27306,233.8355
10-7-2021-8:29:22,23.10025,50.92737,108.0492,354.492,70.81721,232.34
10-7-2021-8:29:23,21.84268,48.15491,109.2655,358.4828,71.30561,233.9423
10-7-2021-8:29:24,22.9745,50.65015,110.4808,362.4699,71.14281,233.4082
10-7-2021-8:29:25,22.21997,48.98669,111.7908,366.7678,70.9149,232.6604
10-7-2021-8:29:26,21.33964,47.0459,113.0026,370.7433,71.24049,233.7287
10-7-2021-8:29:27,21.33964,47.0459,114.2127,374.7136,71.66377,235.1174
10-7-2021-8:29:29,20.71086,45.65967,115.4671,378.829,71.82657,235.6515
10-7-2021-8:29:30,22.34572,49.26392,116.9111,383.5666,83.74339,274.7487
10-7-2021-8:29:31,18.57302,40.94653,118.3122,388.1635,82.05029,269.1939
10-7-2021-8:29:32,21.33964,47.0459,119.7077,392.7418,81.07351,265.9892
10-7-2021-8:29:33,23.35174,51.48181,121.1002,397.3102,81.62703,267.8052
10-7-2021-8:29:34,19.45329,42.88721,122.6088,402.2597,81.95261,268.8734
10-7-2021-8:29:35,21.71694,47.87769,124.0178,406.8824,82.08286,269.3007
10-7-2021-8:29:36,22.09417,48.70935,125.2512,410.9293,79.706,261.5026
10-7-2021-8:29:37,29.13659,64.23523,125.8927,413.0337,38.38781,125.9443
10-7-2021-8:29:38,30.77144,67.83948,126.5034,415.0375,36.82495,120.8168
10-7-2021-8:29:39,24.35781,53.69983,127.3144,417.6983,47.56964,156.0684
10-7-2021-8:29:40,26.49571,58.41309,128.1811,420.5416,50.72792,166.4302
10-7-2021-8:29:41,29.38808,64.78967,128.9264,422.9869,43.30433,142.0746
10-7-2021-8:29:42,23.85478,52.59082,129.6476,425.353,40.66699,133.4219
10-7-2021-8:29:43,27.25024,60.07654,130.3474,427.6488,41.31818,135.5583
10-7-2021-8:29:44,28.13051,62.01721,131.0444,429.9358,40.66699,133.4219
10-7-2021-8:29:45,25.23814,55.64063,131.8649,432.6277,50.17441,164.6142
10-7-2021-8:29:46,30.14266,66.45325,132.7416,435.5039,52.22566,171.344
10-7-2021-8:29:47,26.11842,57.5813,133.6229,438.3952,53.69085,176.1511
10-7-2021-8:29:48,27.25024,60.07654,134.5674,441.494,54.89556,180.1035
10-7-2021-8:29:49,26.99869,59.52197,135.5062,444.5741,56.29562,184.6969
10-7-2021-8:29:50,25.99267,57.30408,136.5768,448.0868,57.56544,188.863
10-7-2021-8:29:51,26.49571,58.41309,137.5501,451.2799,57.76081,189.504
10-7-2021-8:29:52,26.62145,58.69031,138.551,454.5638,57.37009,188.2221
10-7-2021-8:29:53,26.24416,57.85852,139.5267,457.7649,58.21664,190.9995
10-7-2021-8:29:54,29.01084,63.95801,140.5141,461.0043,56.52354,185.4447
10-7-2021-8:29:55,28.00477,61.73999,141.4841,464.1867,57.76081,189.504
10-7-2021-8:29:56,26.24416,57.85852,142.4924,467.4947,56.65377,185.872
10-7-2021-8:29:57,24.73511,54.53162,143.521,470.8694,58.44456,191.7472
10-7-2021-8:29:58,30.39415,67.00769,144.3852,473.7047,48.15571,157.9912
10-7-2021-8:30:00,27.25024,60.07654,145.1612,476.2506,44.47647,145.9202
10-7-2021-8:30:01,29.51388,65.06702,145.9396,478.8046,46.23469,151.6886
10-7-2021-8:30:02,23.72903,52.3136,146.8008,481.6301,49.39297,162.0504
10-7-2021-8:30:03,23.60328,52.03638,147.865,485.1214,60.88653,199.759
10-7-2021-8:30:04,14.80032,32.62915,149.0306,488.9456,68.70084,225.3965
10-7-2021-8:30:05,20.96241,46.21423,150.1786,492.712,68.27757,224.0078
10-7-2021-8:30:06,25.23814,55.64063,151.3334,496.5007,67.59381,221.7645
10-7-2021-8:30:07,21.84268,48.15491,152.4947,500.3107,68.08221,223.3668
10-7-2021-8:30:08,25.48963,56.19507,153.6612,504.1377,67.52869,221.5508
10-7-2021-8:30:09,23.35174,51.48181,154.9191,508.2646,72.83591,238.963
10-7-2021-8:30:10,24.60936,54.25439,156.2825,512.7378,78.89201,258.8321
10-7-2021-8:30:11,20.33362,44.828,157.8274,517.8065,91.10188,298.8907
10-7-2021-8:30:12,17.31545,38.17407,159.3884,522.9278,89.70182,294.2973
10-7-2021-8:30:13,14.42303,31.79736,160.9759,528.1363,94.3904,309.6798
10-7-2021-8:30:14,17.31545,38.17407,162.563,533.3431,92.92521,304.8727
10-7-2021-8:30:15,15.55485,34.2926,164.1405,538.5186,91.75307,301.0271
10-7-2021-8:30:16,16.81242,37.06506,165.7253,543.7183,93.18569,305.7273
10-7-2021-8:30:17,17.56694,38.72852,167.3134,548.9285,92.56705,303.6977
10-7-2021-8:30:18,17.4412,38.45129,168.9257,554.218,94.35784,309.573
10-7-2021-8:30:19,16.43512,36.23328,170.5075,559.4078,93.38104,306.3683
10-7-2021-8:30:20,19.2018,42.33276,172.0772,564.5576,91.85075,301.3476
10-7-2021-8:30:21,15.3033,33.73804,173.6756,569.8018,93.54385,306.9024
10-7-2021-8:30:22,20.33362,44.828,175.252,574.9738,94.68344,310.6412
10-7-2021-8:30:23,17.56694,38.72852,176.8398,580.1832,95.13927,312.1367
10-7-2021-8:30:24,17.31545,38.17407,178.6195,586.0219,150.2953,493.0948
10-7-2021-8:30:25,19.2018,42.33276,180.2057,591.226,92.8601,304.6591
10-7-2021-8:30:26,17.56694,38.72852,181.7932,596.4344,92.79498,304.4455
10-7-2021-8:30:27,20.83661,45.93689,183.3735,601.619,93.67409,307.3297
10-7-2021-8:30:28,17.81844,39.28296,184.9605,606.8257,92.40426,303.1636
10-7-2021-8:30:29,17.31545,38.17407,186.5364,611.9959,93.28337,306.0478
10-7-2021-8:30:30,19.32755,42.60999,188.1272,617.2151,93.3485,306.2615
10-7-2021-8:30:31,18.32147,40.39197,189.7006,622.3773,93.51129,306.7956
10-7-2021-8:30:32,18.32147,40.39197,191.2936,627.6036,93.44617,306.5819
10-7-2021-8:30:33,22.21997,48.98669,192.9606,633.073,92.95778,304.9796
10-7-2021-8:30:35,16.56087,36.5105,194.5558,638.3064,93.67409,307.3297
10-7-2021-8:30:36,17.81844,39.28296,196.1344,643.4855,92.66473,304.0182
10-7-2021-8:30:37,18.82451,41.50098,197.7043,648.6362,92.24147,302.6295
10-7-2021-8:30:38,27.62747,60.9082,198.887,652.5165,66.64959,218.6666
10-7-2021-8:30:39,20.20782,44.55066,200.079,656.4271,70.94746,232.7672
10-7-2021-8:30:40,17.31545,38.17407,201.5491,661.2502,86.15282,282.6536
10-7-2021-8:30:41,19.70484,43.44177,203.0172,666.067,85.5993,280.8376
10-7-2021-8:30:42,21.71694,47.87769,204.4976,670.9239,129.2943,424.194
10-7-2021-8:30:43,19.70484,43.44177,205.9522,675.6962,85.53419,280.624
10-7-2021-8:30:44,22.09417,48.70935,207.425,680.5282,86.38073,283.4013
10-7-2021-8:30:45,18.95026,41.7782,208.9469,685.5213,89.53902,293.7632
10-7-2021-8:30:46,22.59721,49.81836,210.4634,690.4966,88.43199,290.1312
10-7-2021-8:30:47,20.45937,45.10522,211.9736,695.4514,88.72502,291.0926
10-7-2021-8:30:48,18.06998,39.83752,213.5074,700.4836,89.37621,293.229
10-7-2021-8:30:49,20.83661,45.93689,215.0204,705.4473,88.95294,291.8404
10-7-2021-8:30:50,21.71694,47.87769,216.549,710.4626,91.3298,299.6384
10-7-2021-8:30:51,18.32147,40.39197,218.0983,715.5457,91.59027,300.493
10-7-2021-8:30:52,18.32147,40.39197,219.6815,720.7399,92.46938,303.3772
10-7-2021-8:30:53,23.10025,50.92737,221.2935,726.0286,94.48808,310.0002
10-7-2021-8:30:54,19.83059,43.71899,222.8713,731.205,93.86945,307.9706
10-7-2021-8:30:55,18.06998,39.83752,224.4979,736.5417,93.02289,305.1932
10-7-2021-8:30:56,18.82451,41.50098,226.1476,741.954,93.31593,306.1546
10-7-2021-8:30:57,22.21997,48.98669,227.7357,747.1644,93.18569,305.7273
10-7-2021-8:30:58,16.43512,36.23328,229.7224,753.6823,144.2066,473.1189
10-7-2021-8:30:59,17.31545,38.17407,231.3021,758.8651,94.29272,309.3593
10-7-2021-8:31:00,18.57302,40.94653,233.1718,764.9993,105.6235,346.5337
10-7-2021-8:31:01,20.83661,45.93689,234.8739,770.5835,101.0651,331.5785
10-7-2021-8:31:02,29.63962,65.34424,236.0962,774.5938,72.86848,239.0698
10-7-2021-8:31:03,26.49571,58.41309,237.261,778.4154,69.64507,228.4943
10-7-2021-8:31:04,25.23814,55.64063,238.4058,782.1711,67.78918,222.4054
10-7-2021-8:31:06,28.25626,62.29443,239.5698,785.9901,66.5519,218.3461
10-7-2021-8:31:07,24.23207,53.42261,240.6689,789.5962,66.74727,218.9871
10-7-2021-8:31:08,25.74113,56.74951,241.7608,793.1783,64.69601,212.2572
10-7-2021-8:31:09,26.7472,58.96753,242.8447,796.7347,64.33785,211.0822
10-7-2021-8:31:10,27.50173,60.63098,243.78,799.8032,54.76532,179.6762
10-7-2021-8:31:11,22.21997,48.98669,244.9866,803.7618,67.33334,220.9099
10-7-2021-8:31:12,23.22599,51.20459,246.2592,807.9368,75.40813,247.402
10-7-2021-8:31:13,25.86693,57.02686,247.5097,812.0397,74.33366,243.8768
10-7-2021-8:31:14,29.13659,64.23523,248.9193,816.6642,95.7579,314.1664
10-7-2021-8:31:15,23.47754,51.75916,250.1617,820.7405,74.10574,243.1291
10-7-2021-8:31:16,28.63355,63.12622,251.3919,824.7766,73.12895,239.9244
10-7-2021-8:31:17,26.11842,57.5813,252.6189,828.802,72.02193,236.2924
10-7-2021-8:31:18,24.35781,53.69983,253.953,833.1791,83.09222,272.6122
10-7-2021-8:31:19,21.84268,48.15491,255.3951,837.9105,84.29691,276.5647
10-7-2021-8:31:20,23.72903,52.3136,256.8299,842.6178,85.04578,279.0216
10-7-2021-8:31:21,22.9745,50.65015,258.2899,847.4079,85.01322,278.9148
10-7-2021-8:31:22,26.24416,57.85852,260.0796,853.2796,103.7025,340.2312
10-7-2021-8:31:23,24.86085,54.80884,261.7863,858.8789,99.27435,325.7032
10-7-2021-8:31:24,19.95633,43.99622,263.4615,864.375,97.87429,321.1099
10-7-2021-8:31:25,21.84268,48.15491,265.0849,869.701,95.30207,312.6708
10-7-2021-8:31:26,23.47754,51.75916,266.6873,874.9584,94.68344,310.6412
10-7-2021-8:31:27,21.96843,48.43213,268.2944,880.2311,94.16248,308.932
10-7-2021-8:31:28,26.62145,58.69031,269.9077,885.5241,94.8788,311.2821
10-7-2021-8:31:29,24.35781,53.69983,271.5222,890.8208,93.96713,308.2911
10-7-2021-8:31:30,26.11842,57.5813,273.2997,896.6524,123.401,404.8591
10-7-2021-8:31:31,25.11234,55.36328,274.9054,901.9206,96.14863,315.4482
10-7-2021-8:31:32,23.47754,51.75916,276.5426,907.292,96.60446,316.9438
10-7-2021-8:31:33,23.35174,51.48181,278.1462,912.553,96.21374,315.6619
10-7-2021-8:31:34,29.26233,64.51245,279.7668,917.8701,95.23695,312.4572
10-7-2021-8:31:35,27.12449,59.79932,281.3728,923.1392,93.96713,308.2911
10-7-2021-8:31:36,25.86693,57.02686,282.9767,928.4011,94.8788,311.2821
10-7-2021-8:31:38,23.72903,52.3136,284.5873,933.6853,93.93456,308.1843
10-7-2021-8:31:39,26.99869,59.52197,286.2052,938.9935,94.716,310.748
10-7-2021-8:31:40,26.24416,57.85852,287.882,944.4949,94.52064,310.1071
10-7-2021-8:31:41,29.13659,64.23523,289.4834,949.7488,94.32529,309.4662
10-7-2021-8:31:42,26.62145,58.69031,291.0946,955.0347,96.14863,315.4482
10-7-2021-8:31:43,26.24416,57.85852,292.6944,960.2833,94.35784,309.573
10-7-2021-8:31:44,24.23207,53.42261,294.3055,965.5693,95.49743,313.3118
10-7-2021-8:31:45,26.24416,57.85852,295.9088,970.8294,93.7392,307.5433
10-7-2021-8:31:46,26.36991,58.13574,297.5219,976.1216,95.62767,313.7391
10-7-2021-8:31:47,24.73511,54.53162,299.12,981.3648,93.90201,308.0775
10-7-2021-8:31:48,26.99869,59.52197,300.7515,986.7175,117.8985,386.806
10-7-2021-8:31:49,28.75929,63.40344,302.3515,991.967,95.88815,314.5937
10-7-2021-8:31:50,24.10632,53.14539,303.9969,997.3651,95.07416,311.9231
10-7-2021-8:31:51,27.25024,60.07654,305.5939,1002.605,93.54385,306.9024
10-7-2021-8:31:52,26.11842,57.5813,307.226,1007.959,94.94392,311.4958
10-7-2021-8:31:53,27.62747,60.9082,308.832,1013.228,95.85558,314.4868
10-7-2021-8:31:54,28.75929,63.40344,310.4567,1018.559,94.81367,311.0685
10-7-2021-8:31:55,26.7472,58.96753,312.1002,1023.951,95.59511,313.6322
10-7-2021-8:31:56,24.35781,53.69983,313.8728,1029.766,105.07,344.7177
10-7-2021-8:31:57,25.11234,55.36328,315.6446,1035.579,104.1583,341.7267
10-7-2021-8:31:58,26.36991,58.13574,317.4318,1041.443,103.5396,339.697
10-7-2021-8:31:59,27.25024,60.07654,319.2354,1047.36,105.0048,344.5041
10-7-2021-8:32:00,27.12449,59.79932,321.072,1053.386,103.9304,340.9789
10-7-2021-8:32:01,26.36991,58.13574,322.8487,1059.215,104.1908,341.8335
10-7-2021-8:32:02,27.62747,60.9082,324.5955,1064.946,104.3211,342.2608
10-7-2021-8:32:03,28.25626,62.29443,326.3502,1070.703,103.4745,339.4834
10-7-2021-8:32:04,29.13659,64.23523,328.4318,1077.532,133.6573,438.5083
10-7-2021-8:32:05,28.63355,63.12622,330.1941,1083.314,102.4326,336.0651
10-7-2021-8:32:06,28.25626,62.29443,331.9675,1089.132,105.3956,345.7859
10-7-2021-8:32:07,26.7472,58.96753,333.7331,1094.925,103.5071,339.5902
10-7-2021-8:32:09,27.75327,61.18555,335.5054,1100.74,103.7676,340.4448
10-7-2021-8:32:10,30.14266,66.45325,337.3,1106.627,105.884,347.3883
10-7-2021-8:32:11,26.36991,58.13574,339.1686,1112.758,109.9213,360.6343
10-7-2021-8:32:12,30.26841,66.73047,341.0636,1118.975,111.4191,365.5482
10-7-2021-8:32:13,28.63355,63.12622,342.9624,1125.205,113.275,371.6371
10-7-2021-8:32:14,26.24416,57.85852,344.9737,1131.804,111.94,367.2574
10-7-2021-8:32:15,27.62747,60.9082,346.869,1138.022,111.6145,366.1891
10-7-2021-8:32:16,24.73511,54.53162,348.765,1144.242,110.5725,362.7708
10-7-2021-8:32:17,26.62145,58.69031,350.6603,1150.46,110.3772,362.1299
10-7-2021-8:32:18,26.24416,57.85852,352.5593,1156.691,111.0284,364.2663
10-7-2021-8:32:19,24.86085,54.80884,354.4567,1162.916,112.2331,368.2188
10-7-2021-8:32:20,27.25024,60.07654,356.3542,1169.141,112.8192,370.1416
10-7-2021-8:32:21,25.61538,56.47229,358.2573,1175.385,164.8495,540.8447
10-7-2021-8:32:22,27.12449,59.79932,360.1555,1181.612,112.3308,368.5392
10-7-2021-8:32:23,28.00477,61.73999,362.061,1187.864,112.5587,369.287
10-7-2021-8:32:24,29.26233,64.51245,363.9954,1194.21,111.4191,365.5482
10-7-2021-8:32:25,25.74113,56.74951,365.8906,1200.428,112.5587,369.287
10-7-2021-8:32:26,30.5199,67.28491,367.8122,1206.733,115.0006,377.2987
10-7-2021-8:32:27,27.12449,59.79932,369.7052,1212.944,111.8098,366.8301
10-7-2021-8:32:28,29.63962,65.34424,371.6303,1219.26,111.6145,366.1891
10-7-2021-8:32:29,30.5199,67.28491,373.5381,1225.519,111.0609,364.3732
10-7-2021-8:32:30,28.13051,62.01721,375.5125,1231.996,117.7031,386.165
10-7-2021-8:32:31,31.02294,68.39392,377.5117,1238.555,116.4333,381.999
10-7-2021-8:32:32,26.62145,58.69031,379.5165,1245.133,121.187,397.5951
10-7-2021-8:32:33,30.26841,66.73047,381.5176,1251.698,116.7914,383.174
10-7-2021-8:32:34,31.02294,68.39392,383.5422,1258.341,116.7263,382.9603
10-7-2021-8:32:35,28.25626,62.29443,385.5379,1264.888,116.2054,381.2512
10-7-2021-8:32:36,29.13659,64.23523,387.6309,1271.755,116.8891,383.4945
10-7-2021-8:32:37,32.65779,71.99817,389.6725,1278.453,117.2473,384.6695
10-7-2021-8:32:38,31.65172,69.78015,392.1093,1286.448,182.5945,599.0632
10-7-2021-8:32:40,34.66989,76.43408,394.1095,1293.01,116.824,383.2808
10-7-2021-8:32:41,30.26841,66.73047,396.1366,1299.661,116.4984,382.2126
10-7-2021-8:32:42,30.77144,67.83948,398.1599,1306.299,116.824,383.2808
10-7-2021-8:32:43,30.14266,66.45325,400.1642,1312.875,119.2008,391.0789
10-7-2021-8:32:44,30.39415,67.00769,402.174,1319.468,116.8566,383.3876
10-7-2021-8:32:45,29.89112,65.89868,404.2006,1326.117,117.2147,384.5627
10-7-2021-8:32:46,30.89719,68.1167,406.2909,1332.975,117.2147,384.5627
10-7-2021-8:32:47,30.89719,68.1167,408.3321,1339.672,118.3869,388.4083
10-7-2021-8:32:48,32.15475,70.88916,410.3372,1346.251,120.6986,395.9928
10-7-2021-8:32:49,32.15475,70.88916,412.3405,1352.823,117.8659,386.6992
10-7-2021-8:32:50,30.14266,66.45325,414.3499,1359.416,118.4845,388.7288
10-7-2021-8:32:51,32.78354,72.27539,416.3607,1366.013,118.2241,387.8742
10-7-2021-8:32:52,33.66381,74.21606,418.3906,1372.672,117.8333,386.5923
10-7-2021-8:32:53,31.14868,68.67114,420.3998,1379.264,117.5403,385.6309
10-7-2021-8:32:54,33.28658,73.3844,422.6122,1386.523,172.501,565.9481
10-7-2021-8:32:55,19.45329,42.88721,425.1093,1394.715,149.6115,490.8515
10-7-2021-8:32:56,33.78956,74.49329,427.6177,1402.945,146.3882,480.2761
10-7-2021-8:32:57,36.43049,80.31555,429.7523,1409.948,121.6428,399.0906
10-7-2021-8:32:58,32.02901,70.61194,431.7867,1416.623,121.1544,397.4883
10-7-2021-8:32:59,26.62145,58.69031,433.8624,1423.433,122.9452,403.3635
10-7-2021-8:33:00,32.53199,71.72083,435.941,1430.253,122.9127,403.2567
10-7-2021-8:33:01,32.02901,70.61194,438.0156,1437.059,124.7034,409.132
10-7-2021-8:33:02,31.77746,70.05737,440.2408,1444.36,124.2476,407.6365
10-7-2021-8:33:03,30.39415,67.00769,442.1626,1450.665,111.1261,364.5868
10-7-2021-8:33:04,31.52597,69.50293,443.9632,1456.572,105.07,344.7177
10-7-2021-8:33:05,31.77746,70.05737,445.7757,1462.519,107.6096,353.0499
10-7-2021-8:33:06,34.92138,76.98853,447.5949,1468.487,107.0235,351.1271
10-7-2021-8:33:07,32.15475,70.88916,449.5301,1474.836,110.6051,362.8776
10-7-2021-8:33:08,33.28658,73.3844,451.545,1481.447,117.4426,385.3104
10-7-2021-8:33:09,30.77144,67.83948,453.5194,1487.925,117.7357,386.2719
10-7-2021-8:33:11,30.64564,67.56213,455.7368,1495.199,161.1377,528.6669
10-7-2021-8:33:12,31.77746,70.05737,457.7986,1501.964,121.5126,398.6633
10-7-2021-8:33:13,29.38808,64.78967,459.8792,1508.79,120.9265,396.7405
10-7-2021-8:33:14,31.52597,69.50293,461.9431,1515.562,121.1219,397.3814
10-7-2021-8:33:15,31.52597,69.50293,464.0129,1522.352,120.9916,396.9541
10-7-2021-8:33:16,32.02901,70.61194,466.0934,1529.178,121.0893,397.2746
10-7-2021-8:33:17,31.77746,70.05737,468.1694,1535.989,121.8382,399.7315
10-7-2021-8:33:18,30.39415,67.00769,470.2304,1542.751,122.7498,402.7226
10-7-2021-8:33:19,28.88504,63.68066,472.3085,1549.569,126.2012,414.0458
10-7-2021-8:33:20,30.77144,67.83948,474.4955,1556.744,121.4475,398.4497
10-7-2021-8:33:21,28.25626,62.29443,476.5662,1563.537,122.4894,401.868
10-7-2021-8:33:22,30.26841,66.73047,478.6311,1570.312,124.6709,409.0251
10-7-2021-8:33:23,32.2805,71.16638,480.6962,1577.087,121.7405,399.4111
10-7-2021-8:33:24,32.53199,71.72083,482.7621,1583.865,123.5313,405.2863
10-7-2021-8:33:25,34.92138,76.98853,484.8736,1590.792,121.0893,397.2746
10-7-2021-8:33:26,33.28658,73.3844,486.9506,1597.607,123.8894,406.4614
10-7-2021-8:33:27,28.75929,63.40344,489.023,1604.406,122.5219,401.9749
10-7-2021-8:33:28,32.78354,72.27539,491.0854,1611.173,163.8727,537.64
10-7-2021-8:33:29,31.65172,69.78015,493.1543,1617.96,125.3221,411.1616
10-7-2021-8:33:30,29.89112,65.89868,495.2308,1624.773,124.1174,407.2092
10-7-2021-8:33:31,33.53807,73.93884,497.3089,1631.591,121.2521,397.8087
10-7-2021-8:33:32,32.78354,72.27539,499.4063,1638.472,120.8939,396.6337
10-7-2021-8:33:33,32.2805,71.16638,501.4776,1645.268,121.7079,399.3043
10-7-2021-8:33:34,30.89719,68.1167,503.5707,1652.135,124.4429,408.2774
10-7-2021-8:33:35,33.78956,74.49329,505.6515,1658.962,122.9127,403.2567
