DATE,TMHSI,TMHI,DthMHSI,DthMHI,SpdMHSI,SpdMHI
10-7-2021-8:54:52,30.5199,67.28491,-2.190179,-7.185625,-4.883946,-16.02345
10-7-2021-8:54:53,30.77144,67.83948,-2.282974,-7.49007,-5.43746,-17.83944
10-7-2021-8:54:54,31.27443,68.94836,-2.375768,-7.794516,-5.502579,-18.05308
10-7-2021-8:54:55,31.27443,68.94836,-2.469649,-8.102522,-5.502579,-18.05308
10-7-2021-8:54:56,31.02294,68.39392,-2.558645,-8.394505,-4.981625,-16.34391
10-7-2021-8:54:57,31.02294,68.39392,-2.634889,-8.644649,-4.428111,-14.52792
10-7-2021-8:54:58,30.26841,66.73047,-2.71059,-8.893012,-5.860735,-19.22813
10-7-2021-8:54:59,30.64564,67.56213,-2.780322,-9.121792,-4.200194,-13.78016
10-7-2021-8:55:00,31.27443,68.94836,-2.850597,-9.352351,-4.037395,-13.24605
10-7-2021-8:55:01,31.14868,68.67114,-2.924127,-9.593593,-4.395552,-14.4211
10-7-2021-8:55:02,30.77144,67.83948,-3.031031,-9.944328,-5.046744,-16.55756
10-7-2021-8:55:03,29.76537,65.62146,-3.181891,-10.43927,-8.237589,-27.02621
10-7-2021-8:55:04,30.26841,66.73047,-3.33872,-10.9538,-10.15861,-33.32877
10-7-2021-8:55:05,30.26841,66.73047,-3.457834,-11.3446,-6.935204,-22.75329
10-7-2021-8:55:06,30.77144,67.83948,-3.594584,-11.79326,-8.009672,-26.27845
10-7-2021-8:55:07,30.14266,66.45325,-3.733505,-12.24903,-8.465507,-27.77397
10-7-2021-8:55:08,30.01686,66.1759,-3.86483,-12.67989,-6.772405,-22.21918
10-7-2021-8:55:09,30.5199,67.28491,-3.944872,-12.94249,-4.688589,-15.38251
10-7-2021-8:55:10,29.13659,64.23523,-4.026542,-13.21044,-4.786267,-15.70298
10-7-2021-8:55:11,30.01686,66.1759,-4.107128,-13.47483,-4.395552,-14.4211
10-7-2021-8:55:12,29.51388,65.06702,-4.186085,-13.73387,-4.688589,-15.38251
10-7-2021-8:55:13,30.26841,66.73047,-4.266127,-13.99648,-4.688589,-15.38251
10-7-2021-8:55:15,30.01686,66.1759,-4.347797,-14.26443,-4.818827,-15.8098
10-7-2021-8:55:16,31.52597,69.50293,-4.44819,-14.5938,-6.218892,-20.40319
10-7-2021-8:55:17,31.14868,68.67114,-4.535829,-14.88133,-5.209543,-17.09168
10-7-2021-8:55:18,30.77144,67.83948,-4.656029,-15.27568,-6.739846,-22.11235
10-7-2021-8:55:19,29.76537,65.62146,-4.787353,-15.70654,-7.749195,-25.42387
10-7-2021-8:55:20,29.63962,65.34424,-4.886117,-16.03057,-5.763056,-18.90767
10-7-2021-8:55:21,30.77144,67.83948,-5.03155,-16.50771,-8.595745,-28.20126
10-7-2021-8:55:22,30.77144,67.83948,-5.189735,-17.02669,-9.214378,-30.2309
10-7-2021-8:55:23,30.01686,66.1759,-5.334897,-17.50294,-8.563186,-28.09444
10-7-2021-8:55:24,30.26841,66.73047,-5.469206,-17.94359,-7.749195,-25.42387
10-7-2021-8:55:25,30.26841,66.73047,-5.619251,-18.43586,-8.270149,-27.13304
10-7-2021-8:55:26,29.13659,64.23523,-5.766041,-18.91746,-8.465507,-27.77397
10-7-2021-8:55:27,29.01084,63.95801,-5.915273,-19.40706,-9.246938,-30.33772
10-7-2021-8:55:28,28.13051,62.01721,-6.041713,-19.82189,-8.237589,-27.02621
10-7-2021-8:55:29,29.01084,63.95801,-6.142105,-20.15126,-6.023533,-19.76225
10-7-2021-8:55:30,29.13659,64.23523,-6.241954,-20.47885,-5.990974,-19.65543
10-7-2021-8:55:31,30.26841,66.73047,-6.358356,-20.86075,-6.088653,-19.97589
10-7-2021-8:55:32,29.76537,65.62146,-6.462003,-21.2008,-6.121212,-20.08272
10-7-2021-8:55:33,28.63355,63.12622,-6.562125,-21.52928,-5.925855,-19.44178
10-7-2021-8:55:34,30.5199,67.28491,-6.659532,-21.84886,-5.860735,-19.22813
10-7-2021-8:55:35,30.5199,67.28491,-6.752055,-22.15241,-5.404901,-17.73261
10-7-2021-8:55:36,29.76537,65.62146,-6.84865,-22.46932,-5.665378,-18.5872
10-7-2021-8:55:37,29.13659,64.23523,-6.941715,-22.77466,-5.697938,-18.69402
10-7-2021-8:55:38,30.5199,67.28491,-7.028542,-23.05952,-5.111864,-16.77121
10-7-2021-8:55:39,30.01686,66.1759,-7.120793,-23.36218,-5.502579,-18.05308
10-7-2021-8:55:40,30.64564,67.56213,-7.207077,-23.64526,-5.144423,-16.87803
10-7-2021-8:55:42,70.25909,154.8949,-7.221186,-23.69156,-1.367505,-4.486565
10-7-2021-8:55:43,108.8665,240.0096,-7.220914,-23.69066,9.77E-02,3.20E-01
10-7-2021-8:55:44,100.0634,220.6023,-7.218201,-23.68176,1.63E-01,5.34E-01
10-7-2021-8:55:45,72.39693,159.608,-7.204906,-23.63814,8.79E-01,2.88422
10-7-2021-8:55:46,41.83805,92.23718,-7.181843,-23.56248,1.009349,3.311512
10-7-2021-8:55:47,29.63962,65.34424,-7.179672,-23.55536,3.26E-02,1.07E-01
10-7-2021-8:55:48,28.5078,62.849,-7.179672,-23.55536,0,0
10-7-2021-8:55:49,28.13051,62.01721,-7.179672,-23.55536,0,0
10-7-2021-8:55:50,28.13051,62.01721,-7.179672,-23.55536,0,0
10-7-2021-8:55:51,28.13051,62.01721,-7.179672,-23.55536,0,0
10-7-2021-8:55:52,28.5078,62.849,-7.179672,-23.55536,0,0
10-7-2021-8:55:53,28.25626,62.29443,-7.179672,-23.55536,0,0
10-7-2021-8:55:54,28.00477,61.73999,-7.179672,-23.55536,0,0
10-7-2021-8:55:55,28.00477,61.73999,-7.179672,-23.55536,0,0
10-7-2021-8:55:56,28.25626,62.29443,-7.179672,-23.55536,0,0
10-7-2021-8:55:57,28.25626,62.29443,-7.179672,-23.55536,0,0
10-7-2021-8:55:58,28.25626,62.29443,-7.179672,-23.55536,0,0
10-7-2021-8:55:59,27.75327,61.18555,-7.179672,-23.55536,0,0
10-7-2021-8:56:00,27.87902,61.46277,-7.179672,-23.55536,0,0
10-7-2021-8:56:01,28.13051,62.01721,-7.179672,-23.55536,0,0
10-7-2021-8:56:02,27.87902,61.46277,-7.179672,-23.55536,0,0
10-7-2021-8:56:03,28.25626,62.29443,-7.179672,-23.55536,0,0
10-7-2021-8:56:04,28.13051,62.01721,-7.179672,-23.55536,0,0
10-7-2021-8:56:05,28.25626,62.29443,-7.179672,-23.55536,0,0
10-7-2021-8:56:06,28.13051,62.01721,-7.179672,-23.55536,0,0
10-7-2021-8:56:07,28.38206,62.57178,-7.179672,-23.55536,0,0
10-7-2021-8:56:08,28.63355,63.12622,-7.179672,-23.55536,0,0
10-7-2021-8:56:09,27.87902,61.46277,-7.179672,-23.55536,0,0
10-7-2021-8:56:10,28.25626,62.29443,-7.179672,-23.55536,0,0
10-7-2021-8:56:11,28.38206,62.57178,-7.179672,-23.55536,0,0
10-7-2021-8:56:12,28.25626,62.29443,-7.179672,-23.55536,0,0
10-7-2021-8:56:13,28.38206,62.57178,-7.179672,-23.55536,0,0
10-7-2021-8:56:14,28.63355,63.12622,-7.179672,-23.55536,0,0
10-7-2021-8:56:15,28.38206,62.57178,-7.179672,-23.55536,0,0
10-7-2021-8:56:16,28.25626,62.29443,-7.179672,-23.55536,0,0
10-7-2021-8:56:17,27.87902,61.46277,-7.179672,-23.55536,0,0
10-7-2021-8:56:18,28.75929,63.40344,-7.179672,-23.55536,0,0
10-7-2021-8:56:19,28.13051,62.01721,-7.179672,-23.55536,0,0
10-7-2021-8:56:20,28.25626,62.29443,-7.179672,-23.55536,0,0
10-7-2021-8:56:21,28.13051,62.01721,-7.179672,-23.55536,0,0
10-7-2021-8:56:22,28.13051,62.01721,-7.179672,-23.55536,0,0
10-7-2021-8:56:23,28.13051,62.01721,-7.179672,-23.55536,0,0
10-7-2021-8:56:25,28.25626,62.29443,-7.179672,-23.55536,0,0
10-7-2021-8:56:26,27.87902,61.46277,-7.179672,-23.55536,0,0
10-7-2021-8:56:27,27.87902,61.46277,-7.179672,-23.55536,0,0
10-7-2021-8:56:28,28.25626,62.29443,-7.179672,-23.55536,0,0
10-7-2021-8:56:29,28.75929,63.40344,-7.179672,-23.55536,0,0
10-7-2021-8:56:30,28.75929,63.40344,-7.179672,-23.55536,0,0
10-7-2021-8:56:31,28.38206,62.57178,-7.179672,-23.55536,0,0
10-7-2021-8:56:32,28.75929,63.40344,-7.179672,-23.55536,0,0
10-7-2021-8:56:33,28.38206,62.57178,-7.179672,-23.55536,0,0
10-7-2021-8:56:34,28.75929,63.40344,-7.179672,-23.55536,0,0
10-7-2021-8:56:35,28.63355,63.12622,-7.179672,-23.55536,0,0
10-7-2021-8:56:36,28.25626,62.29443,-7.179672,-23.55536,0,0
10-7-2021-8:56:37,27.75327,61.18555,-7.179672,-23.55536,0,0
10-7-2021-8:56:38,28.25626,62.29443,-7.179672,-23.55536,0,0
10-7-2021-8:56:39,28.63355,63.12622,-7.179672,-23.55536,0,0
10-7-2021-8:56:40,28.25626,62.29443,-7.179672,-23.55536,0,0
10-7-2021-8:56:41,28.63355,63.12622,-7.179672,-23.55536,0,0
10-7-2021-8:56:42,28.13051,62.01721,-7.179672,-23.55536,0,0
10-7-2021-8:56:43,28.25626,62.29443,-7.179672,-23.55536,0,0
10-7-2021-8:56:44,28.25626,62.29443,-7.179672,-23.55536,0,0
10-7-2021-8:56:45,28.38206,62.57178,-7.179672,-23.55536,0,0
10-7-2021-8:56:46,28.38206,62.57178,-7.179672,-23.55536,0,0
10-7-2021-8:56:47,28.75929,63.40344,-7.179672,-23.55536,0,0
10-7-2021-8:56:48,28.63355,63.12622,-7.179672,-23.55536,0,0
10-7-2021-8:56:49,28.63355,63.12622,-7.179672,-23.55536,0,0
10-7-2021-8:56:50,28.38206,62.57178,-7.179672,-23.55536,0,0
10-7-2021-8:56:51,28.25626,62.29443,-7.179672,-23.55536,0,0
10-7-2021-8:56:52,28.25626,62.29443,-7.179672,-23.55536,0,0
10-7-2021-8:56:53,28.25626,62.29443,-7.179672,-23.55536,0,0
10-7-2021-8:56:54,28.38206,62.57178,-7.179672,-23.55536,0,0
10-7-2021-8:56:55,28.63355,63.12622,-7.179672,-23.55536,0,0
10-7-2021-8:56:56,28.63355,63.12622,-7.179672,-23.55536,0,0
10-7-2021-8:56:57,28.38206,62.57178,-7.179672,-23.55536,0,0
10-7-2021-8:56:58,28.63355,63.12622,-7.179944,-23.55625,0,0
10-7-2021-8:56:59,29.63962,65.34424,-7.179672,-23.55536,3.26E-02,1.07E-01
10-7-2021-8:57:00,28.88504,63.68066,-7.179672,-23.55536,3.26E-02,1.07E-01
10-7-2021-8:57:01,28.88504,63.68066,-7.179672,-23.55536,0,0
10-7-2021-8:57:02,28.38206,62.57178,-7.179672,-23.55536,0,0
10-7-2021-8:57:03,28.63355,63.12622,-7.179672,-23.55536,0,0
10-7-2021-8:57:04,28.63355,63.12622,-7.179672,-23.55536,0,0
10-7-2021-8:57:05,28.13051,62.01721,-7.179672,-23.55536,0,0
10-7-2021-8:57:07,27.87902,61.46277,-7.179672,-23.55536,0,0
10-7-2021-8:57:08,28.75929,63.40344,-7.179672,-23.55536,0,0
10-7-2021-8:57:09,28.25626,62.29443,-7.179672,-23.55536,0,0
10-7-2021-8:57:10,28.13051,62.01721,-7.179672,-23.55536,0,0
10-7-2021-8:57:11,28.63355,63.12622,-7.179672,-23.55536,0,0
