DATE,TMHSI,TMHI,DthMHSI,DthMHI,SpdMHSI,SpdMHI,,,,,,,
1-6-2021-16:24:49,57.79455,127.4153,-7.67675,-25.18619,0.0,0.0,,,,,,,
1-6-2021-16:24:50,58.19815,128.3051,-7.678106,-25.19064,-1.30239e-1,-4.27292e-1,,,,,,,
1-6-2021-16:24:51,60.61987,133.644,-7.626553,-25.0215,1.465184,4.807034,,,,,,,
1-6-2021-16:24:52,37.34449,82.33057,-7.348168,-24.10816,15.27047,50.09998,,,,,,,
1-6-2021-16:24:53,51.33662,113.178,-6.863301,-22.51739,29.10832,95.49974,,,,,,,
1-6-2021-16:24:54,53.48925,117.9237,-6.371379,-20.90347,29.206,95.8202,,,,,,,
1-6-2021-16:24:55,54.43104,120.0,-5.887326,-19.31537,28.35945,93.04281,,,,,,,
1-6-2021-16:24:56,55.10373,121.483,-5.40083,-17.71926,28.58737,93.79057,,,,,,,
1-6-2021-16:24:57,54.29649,119.7034,-4.914878,-16.12493,28.55481,93.68375,,,,,,,
1-6-2021-16:24:58,54.02745,119.1102,-4.425941,-14.5208,28.61993,93.89739,,,,,,,
1-6-2021-16:24:59,56.44917,124.4492,-3.945143,-12.94338,28.29433,92.82915,,,,,,,
1-6-2021-16:25:00,51.47118,113.4746,-3.460005,-11.35172,28.55481,93.68375,,,,,,,
1-6-2021-16:25:01,55.64193,122.6696,-2.969711,-9.743145,29.0432,95.28609,,,,,,,
1-6-2021-16:25:02,54.02745,119.1102,-2.483215,-8.147032,28.42457,93.25645,,,,,,,
1-6-2021-16:25:03,55.50738,122.3729,-1.997534,-6.553589,28.39201,93.14963,,,,,,,
1-6-2021-16:25:04,54.29649,119.7034,-1.511039,-4.957476,29.01064,95.17927,,,,,,,
1-6-2021-16:25:05,56.04552,123.5593,-1.024272,-3.360473,29.40136,96.46114,,,,,,,
1-6-2021-16:25:06,58.87089,129.7882,-5.38591e-1,-1.76703,29.17344,95.71338,,,,,,,
1-6-2021-16:25:07,57.12186,125.9323,-5.58941e-2,-1.83379e-1,28.94552,94.96562,,,,,,,
1-6-2021-16:25:08,54.56559,120.2966,4.31144e-1,1.414514,30.99678,101.6955,,,,,,,
1-6-2021-16:25:09,53.8929,118.8136,9.17911e-1,3.011518,28.7176,94.21786,,,,,,,
1-6-2021-16:25:10,55.64193,122.6696,1.400879,4.596058,28.8804,94.75198,,,,,,,
1-6-2021-16:25:11,56.04552,123.5593,1.896328,6.221548,28.39201,93.14963,,,,,,,
1-6-2021-16:25:13,54.29649,119.7034,2.398289,7.868402,28.75016,94.32468,,,,,,,
1-6-2021-16:25:14,56.04552,123.5593,2.8818,9.454723,28.42457,93.25645,,,,,,,
1-6-2021-16:25:15,57.66,127.1187,3.368837,11.05262,28.48969,93.4701,,,,,,,
1-6-2021-16:25:16,55.64193,122.6696,3.853433,12.6425,28.48969,93.4701,,,,,,,
1-6-2021-16:25:17,54.96924,121.1865,4.338572,14.23416,28.58737,93.79057,,,,,,,
1-6-2021-16:25:18,53.6238,118.2203,4.82561,15.83205,28.8804,94.75198,,,,,,,
1-6-2021-16:25:19,55.37283,122.0763,5.308578,17.4166,28.35945,93.04281,,,,,,,
1-6-2021-16:25:20,54.29649,119.7034,5.788019,18.98956,28.39201,93.14963,,,,,,,
1-6-2021-16:25:21,55.64193,122.6696,6.310059,20.70229,42.36009,138.9767,,,,,,,
1-6-2021-16:25:22,55.50738,122.3729,6.781902,22.25033,27.6757,90.79953,,,,,,,
1-6-2021-16:25:23,54.83469,120.8899,7.254016,23.79927,28.26177,92.72234,,,,,,,
1-6-2021-16:25:24,56.18007,123.856,7.734543,25.3758,28.06641,92.0814,,,,,,,
1-6-2021-16:25:25,56.44917,124.4492,8.231077,27.00485,29.92231,98.17031,,,,,,,
1-6-2021-16:25:26,55.91097,123.2627,8.734938,28.65793,30.44327,99.87948,,,,,,,
1-6-2021-16:25:27,55.37283,122.0763,9.242054,30.3217,29.72695,97.52937,,,,,,,
1-6-2021-16:25:28,54.83469,120.8899,9.807235,32.17597,32.10381,105.3275,,,,,,,
1-6-2021-16:25:29,55.50738,122.3729,10.41366,34.16555,35.03418,114.9415,,,,,,,
1-6-2021-16:25:30,54.29649,119.7034,11.15955,36.61268,42.84849,140.579,,,,,,,
1-6-2021-16:25:31,53.48925,117.9237,12.03594,39.488,50.76048,166.537,,,,,,,
1-6-2021-16:25:32,53.8929,118.8136,12.95684,42.50931,54.47228,178.7148,,,,,,,
1-6-2021-16:25:33,57.66,127.1187,13.8799,45.53774,54.17924,177.7534,,,,,,,
1-6-2021-16:25:34,50.52938,111.3983,14.78099,48.49407,53.49549,175.5101,,,,,,,
1-6-2021-16:25:35,61.29262,135.1272,15.68452,51.4584,53.75597,176.3647,,,,,,,
1-6-2021-16:25:36,48.78035,107.5424,16.58724,54.42007,53.07222,174.1214,,,,,,,
1-6-2021-16:25:37,57.52546,126.822,17.48887,57.37818,53.03966,174.0146,,,,,,,
1-6-2021-16:25:38,59.13994,130.3813,18.50582,60.71461,66.03096,216.637,,,,,,,
1-6-2021-16:25:39,50.79848,111.9916,19.4145,63.69587,54.47228,178.7148,,,,,,,
1-6-2021-16:25:40,58.3327,128.6017,20.36877,66.82667,57.01193,187.047,,,,,,,
1-6-2021-16:25:41,55.10373,121.483,21.35587,70.06519,59.64926,195.6997,,,,,,,
1-6-2021-16:25:42,52.95111,116.7373,22.37037,73.39361,60.91909,199.8658,,,,,,,
1-6-2021-16:25:43,53.08566,117.0339,23.39248,76.74696,61.08189,200.3999,,,,,,,
1-6-2021-16:25:44,55.10373,121.483,24.42136,80.12257,61.76564,202.6432,,,,,,,
1-6-2021-16:25:45,47.70407,105.1696,25.4478,83.49017,60.49581,198.4771,,,,,,,
1-6-2021-16:25:46,58.6018,129.1949,26.47587,86.8631,60.39814,198.1566,,,,,,,
1-6-2021-16:25:48,52.54752,115.8475,27.50394,90.23603,60.33302,197.943,,,,,,,
1-6-2021-16:25:49,48.10766,106.0593,28.59333,93.81015,60.56093,198.6907,,,,,,,
1-6-2021-16:25:50,53.48925,117.9237,29.6252,97.19555,60.98421,200.0794,,,,,,,
1-6-2021-16:25:51,54.02745,119.1102,30.65327,100.5685,60.52838,198.5839,,,,,,,
1-6-2021-16:25:52,49.45304,109.0254,31.68134,103.9414,60.65862,199.0112,,,,,,,
1-6-2021-16:25:53,54.56559,120.2966,32.73085,107.3847,60.52838,198.5839,,,,,,,
1-6-2021-16:25:54,54.29649,119.7034,33.75919,110.7585,60.49581,198.4771,,,,,,,
1-6-2021-16:25:55,48.64581,107.2457,34.78998,114.1403,60.62605,198.9044,,,,,,,
1-6-2021-16:25:56,51.74027,114.0679,35.81669,117.5088,61.27725,201.0408,,,,,,,
1-6-2021-16:25:57,54.83469,120.8899,36.93484,121.1773,77.13379,253.0636,,,,,,,
1-6-2021-16:25:58,50.52938,111.3983,37.96373,124.5529,61.57029,202.0022,,,,,,,
1-6-2021-16:25:59,49.72215,109.6187,38.99234,127.9276,61.4726,201.6818,,,,,,,
1-6-2021-16:26:00,55.37283,122.0763,40.0215,131.3041,61.86332,202.9636,,,,,,,
1-6-2021-16:26:01,48.9149,107.839,41.04848,134.6735,60.23534,197.6225,,,,,,,
1-6-2021-16:26:02,52.81656,116.4407,42.07574,138.0438,60.39814,198.1566,,,,,,,
1-6-2021-16:26:03,58.3327,128.6017,43.10544,141.422,60.75629,199.3317,,,,,,,
1-6-2021-16:26:04,51.20208,112.8813,44.13378,144.7959,60.69117,199.118,,,,,,,
1-6-2021-16:26:05,50.39484,111.1017,45.17433,148.2097,60.75629,199.3317,,,,,,,
1-6-2021-16:26:06,56.18007,123.856,46.23957,151.7046,59.81206,196.2338,,,,,,,
1-6-2021-16:26:07,53.08566,117.0339,47.25245,155.0277,59.7795,196.127,,,,,,,
1-6-2021-16:26:08,48.64581,107.2457,48.27998,158.3989,61.01677,200.1862,,,,,,,
1-6-2021-16:26:09,53.8929,118.8136,49.29394,161.7255,59.42134,194.9519,,,,,,,
1-6-2021-16:26:10,50.93303,112.2882,50.32336,165.1029,60.26789,197.7293,,,,,,,
1-6-2021-16:26:11,51.33662,113.178,51.349,168.4678,60.72373,199.2248,,,,,,,
1-6-2021-16:26:12,54.43104,120.0,52.37571,171.8363,60.30046,197.8362,,,,,,,
1-6-2021-16:26:13,53.48925,117.9237,53.40487,175.2128,60.56093,198.6907,,,,,,,
1-6-2021-16:26:14,51.87477,114.3644,54.55287,178.9792,81.85494,268.5529,,,,,,,
1-6-2021-16:26:15,55.91097,123.2627,55.58067,182.3513,61.53772,201.8954,,,,,,,
1-6-2021-16:26:16,47.30042,104.2797,56.60792,185.7215,61.70052,202.4295,,,,,,,
1-6-2021-16:26:17,50.79848,111.9916,57.63436,189.0891,61.24469,200.934,,,,,,,
1-6-2021-16:26:18,52.14387,114.9576,58.66298,192.4638,61.44004,201.575,,,,,,,
1-6-2021-16:26:19,50.52938,111.3983,59.68969,195.8323,60.49581,198.4771,,,,,,,
1-6-2021-16:26:20,55.23828,121.7797,60.724,199.2257,60.78885,199.4385,,,,,,,
1-6-2021-16:26:22,51.33662,113.178,61.75099,202.5951,60.49581,198.4771,,,,,,,
1-6-2021-16:26:23,52.14387,114.9576,62.77634,205.9591,59.97486,196.7679,,,,,,,
1-6-2021-16:26:24,53.08566,117.0339,63.80577,209.3365,60.69117,199.118,,,,,,,
1-6-2021-16:26:25,53.08566,117.0339,64.90113,212.9302,60.72373,199.2248,,,,,,,
1-6-2021-16:26:26,54.29649,119.7034,65.93029,216.3067,60.46325,198.3703,,,,,,,
1-6-2021-16:26:27,51.47118,113.4746,66.95782,219.6779,60.49581,198.4771,,,,,,,
1-6-2021-16:26:28,48.9149,107.839,67.98318,223.0419,59.81206,196.2338,,,,,,,
1-6-2021-16:26:29,52.95111,116.7373,69.0107,226.4131,60.72373,199.2248,,,,,,,
1-6-2021-16:26:30,52.00932,114.661,70.04095,229.7931,60.43069,198.2634,,,,,,,
1-6-2021-16:26:31,54.83469,120.8899,71.06657,233.1581,60.30046,197.8362,,,,,,,
1-6-2021-16:26:32,51.47118,113.4746,72.11309,236.5915,60.33302,197.943,,,,,,,
1-6-2021-16:26:33,52.81656,116.4407,73.22989,240.2555,84.10155,275.9237,,,,,,,
1-6-2021-16:26:34,51.06753,112.5847,74.25769,243.6276,61.89588,203.0705,,,,,,,
1-6-2021-16:26:35,49.85669,109.9153,75.28766,247.0068,61.96099,203.2841,,,,,,,
1-6-2021-16:26:36,51.60572,113.7712,76.3141,250.3743,60.36557,198.0498,,,,,,,
1-6-2021-16:26:37,53.48925,117.9237,77.34136,253.7446,60.49581,198.4771,,,,,,,
1-6-2021-16:26:38,52.41296,115.5509,78.36834,257.114,60.20278,197.5157,,,,,,,
1-6-2021-16:26:39,51.87477,114.3644,79.39614,260.486,60.91909,199.8658,,,,,,,
1-6-2021-16:26:40,51.87477,114.3644,80.42638,263.8661,60.59349,198.7975,,,,,,,
1-6-2021-16:26:41,55.64193,122.6696,81.46395,267.2702,60.36557,198.0498,,,,,,,
1-6-2021-16:26:42,52.95111,116.7373,82.49067,270.6387,60.1051,197.1952,,,,,,,
1-6-2021-16:26:43,54.02745,119.1102,83.51684,274.0054,61.44004,201.575,,,,,,,
1-6-2021-16:26:44,52.54752,115.8475,84.59402,277.5394,60.03998,196.9816,,,,,,,
1-6-2021-16:26:45,52.00932,114.661,85.64488,280.9872,60.85397,199.6521,,,,,,,
1-6-2021-16:26:46,52.95111,116.7373,86.67159,284.3556,61.04932,200.2931,,,,,,,
1-6-2021-16:26:47,51.87477,114.3644,87.69669,287.7188,60.33302,197.943,,,,,,,
1-6-2021-16:26:48,52.54752,115.8475,88.72366,291.0881,60.1051,197.1952,,,,,,,
1-6-2021-16:26:49,53.22021,117.3306,89.74983,294.4548,60.20278,197.5157,,,,,,,
1-6-2021-16:26:50,53.75835,118.517,90.93176,298.3325,91.78563,301.1339,,,,,,,
1-6-2021-16:26:52,53.08566,117.0339,91.97881,301.7678,60.65862,199.0112,,,,,,,
1-6-2021-16:26:53,51.33662,113.178,93.00173,305.1238,60.07254,197.0884,,,,,,,
1-6-2021-16:26:54,52.41296,115.5509,94.03795,308.5234,59.55159,195.3792,,,,,,,
1-6-2021-16:26:55,51.47118,113.4746,95.05,311.8438,59.51902,195.2724,,,,,,,
1-6-2021-16:26:56,52.00932,114.661,96.06831,315.1847,60.20278,197.5157,,,,,,,
1-6-2021-16:26:57,49.31855,108.7289,97.08363,318.5158,59.81206,196.2338,,,,,,,
1-6-2021-16:26:58,52.27842,115.2543,98.10762,321.8754,60.33302,197.943,,,,,,,
1-6-2021-16:26:59,52.14387,114.9576,99.19675,325.4486,60.23534,197.6225,,,,,,,
1-6-2021-16:27:00,51.87477,114.3644,100.2226,328.8145,60.39814,198.1566,,,,,,,
1-6-2021-16:27:01,51.47118,113.4746,101.2507,332.1874,61.92844,203.1773,,,,,,,
1-6-2021-16:27:02,54.70014,120.5933,102.1914,335.2737,56.03514,183.8423,,,,,,,
1-6-2021-16:27:03,52.68201,116.144,102.9341,337.7101,44.60671,146.3475,,,,,,,
1-6-2021-16:27:04,55.10373,121.483,103.6341,340.0068,41.22051,135.2379,,,,,,,
1-6-2021-16:27:05,54.56559,120.2966,104.2869,342.1486,39.6902,130.2172,,,,,,,
1-6-2021-16:27:06,53.08566,117.0339,104.8947,344.1427,35.03418,114.9415,,,,,,,
1-6-2021-16:27:07,54.56559,120.2966,105.4249,345.8821,31.58285,103.6183,,,,,,,
1-6-2021-16:27:08,54.56559,120.2966,105.9095,347.472,29.30368,96.14067,,,,,,,
1-6-2021-16:27:09,54.02745,119.1102,106.3696,348.9818,37.93198,124.4488,,,,,,,
1-6-2021-16:27:10,53.75835,118.517,106.7929,350.3705,25.03836,82.14687,,,,,,,
1-6-2021-16:27:11,54.56559,120.2966,107.2175,351.7636,25.03836,82.14687,,,,,,,
1-6-2021-16:27:12,52.95111,116.7373,107.6452,353.1665,25.20116,82.68098,,,,,,,
1-6-2021-16:27:13,54.02745,119.1102,108.0657,354.5463,24.77789,81.29227,,,,,,,
1-6-2021-16:27:14,53.08566,117.0339,108.4868,355.9279,24.74533,81.18546,,,,,,,
1-6-2021-16:27:15,54.02745,119.1102,108.9136,357.3282,25.13604,82.46733,,,,,,,
1-6-2021-16:27:16,53.6238,118.2203,109.3377,358.7195,24.843,81.50592,,,,,,,
1-6-2021-16:27:17,54.02745,119.1102,109.7569,360.0949,25.29884,83.00144,,,,,,,
1-6-2021-16:27:18,54.162,119.4069,110.1821,361.4898,24.90813,81.71957,,,,,,,
1-6-2021-16:27:19,54.56559,120.2966,110.6081,362.8874,25.13604,82.46733,,,,,,,
1-6-2021-16:27:20,54.83469,120.8899,111.043,364.3144,24.68021,80.97182,,,,,,,
1-6-2021-16:27:21,52.95111,116.7373,111.4652,365.6995,25.42908,83.42874,,,,,,,
1-6-2021-16:27:22,22.9487,50.59326,111.8391,366.9262,19.82882,65.05519,,,,,,,
1-6-2021-16:27:23,24.69773,54.44922,112.1655,367.9971,19.56835,64.20061,,,,,,,
1-6-2021-16:27:24,-3.421154,-7.542358,112.2884,368.4004,0.0,0.0,,,,,,,
1-6-2021-16:27:25,-2.344814,-5.169434,112.2304,368.2099,-5.111864,-16.77121,,,,,,,
1-6-2021-16:27:26,8.01477,17.66956,112.1096,367.8138,-8.400388,-27.56033,,,,,,,
1-6-2021-16:27:27,29.94477,66.01697,111.923,367.2013,-12.8285,-42.08825,,,,,,,
1-6-2021-16:27:28,38.68987,85.29663,111.7398,366.6004,-10.84236,-35.57205,,,,,,,
1-6-2021-16:27:29,40.70794,89.74573,111.5583,366.0049,-10.647,-34.93111,,,,,,,
1-6-2021-16:27:30,43.26422,95.38135,111.3833,365.4307,-10.4842,-34.397,,,,,,,
1-6-2021-16:27:31,90.89138,200.3813,111.4283,365.5785,-3.58156e-1,-1.175053,,,,,,,
1-6-2021-16:27:33,28.33029,62.45764,111.873,367.0375,23.34526,76.59206,,,,,,,
1-6-2021-16:27:34,25.23587,55.63562,112.3666,368.6567,31.77821,104.2592,,,,,,,
1-6-2021-16:27:35,-3.824746,-8.432129,112.3639,368.6479,-1.82334,-5.982086,,,,,,,
1-6-2021-16:27:36,-2.344814,-5.169434,112.3671,368.6585,2.93037e-1,9.61407e-1,,,,,,,
1-6-2021-16:27:37,-3.959296,-8.72876,112.3655,368.6532,-2.27917e-1,-7.47761e-1,,,,,,,
1-6-2021-16:27:38,-3.286604,-7.245728,112.3669,368.6577,-3.25596e-2,-1.06823e-1,,,,,,,
1-6-2021-16:27:39,-3.824746,-8.432129,112.3663,368.6559,-3.25596e-2,-1.06823e-1,,,,,,,
1-6-2021-16:27:40,-3.824746,-8.432129,112.3663,368.6559,3.25596e-2,1.06823e-1,,,,,,,
1-6-2021-16:27:41,-3.152055,-6.949097,112.366,368.655,-3.25596e-2,-1.06823e-1,,,,,,,
1-6-2021-16:27:42,-2.883011,-6.355957,112.3663,368.6559,3.25596e-2,1.06823e-1,,,,,,,
1-6-2021-16:27:43,-3.152055,-6.949097,112.3663,368.6559,0.0,0.0,,,,,,,
1-6-2021-16:27:44,-2.883011,-6.355957,112.3663,368.6559,0.0,0.0,,,,,,,
1-6-2021-16:27:45,-3.286604,-7.245728,112.3663,368.6559,0.0,0.0,,,,,,,
1-6-2021-16:27:46,-3.421154,-7.542358,112.3628,368.6443,-3.25596e-2,-1.06823e-1,,,,,,,
1-6-2021-16:27:47,-2.748462,-6.059326,112.3875,368.7253,2.214056,7.263962,,,,,,,
1-6-2021-16:27:48,33.30828,73.43225,112.3894,368.7315,6.83752e-1,2.243282,,,,,,,
1-6-2021-16:27:49,7.207528,15.88989,112.394,368.7467,6.83752e-1,2.243282,,,,,,,
1-6-2021-16:27:50,-5.439228,-11.99146,112.3948,368.7493,-2.60477e-1,-8.54584e-1,,,,,,,
1-6-2021-16:27:51,-4.228395,-9.322021,112.3953,368.7511,-4.55835e-1,-1.495522,,,,,,,
1-6-2021-16:27:52,12.58912,27.75427,112.391,368.7369,-4.55835e-1,-1.495522,,,,,,,
1-6-2021-16:27:53,57.3909,126.5254,112.3886,368.7289,-6.51193e-2,-2.13646e-1,,,,,,,
1-6-2021-16:27:54,-2.883011,-6.355957,112.394,368.7467,-5.86074e-1,-1.922814,,,,,,,
1-6-2021-16:27:55,16.35622,36.05933,112.3856,368.7191,-2.60477e-1,-8.54584e-1,,,,,,,
1-6-2021-16:27:56,-3.152055,-6.949097,112.3872,368.7244,9.1167e-1,2.991043,,,,,,,
1-6-2021-16:27:57,-11.62811,-25.63562,112.3793,368.6986,-4.88395e-1,-1.602345,,,,,,,
1-6-2021-16:27:58,-3.152055,-6.949097,112.3804,368.7021,-1.62798e-1,-5.34115e-1,,,,,,,
1-6-2021-16:27:59,-3.824746,-8.432129,112.3755,368.6861,-3.90716e-1,-1.281876,,,,,,,
1-6-2021-16:28:00,-3.421154,-7.542358,112.3704,368.6692,-5.53514e-1,-1.81599,,,,,,,
1-6-2021-16:28:01,-2.883011,-6.355957,112.3443,368.5837,-2.572212,-8.439014,,,,,,,
1-6-2021-16:28:02,-2.883011,-6.355957,112.2678,368.3327,-4.688589,-15.38251,,,,,,,
1-6-2021-16:28:03,-1.13398,-2.5,112.1829,368.0541,-4.949065,-16.23709,,,,,,,
1-6-2021-16:28:05,11.10918,24.49158,112.0763,367.7043,-4.753707,-15.59615,,,,,,,
1-6-2021-16:28:06,27.11945,59.78821,111.9965,367.4425,-4.753707,-15.59615,,,,,,,
1-6-2021-16:28:07,42.59153,93.89832,111.917,367.1817,-4.688589,-15.38251,,,,,,,
1-6-2021-16:28:08,45.1478,99.53394,111.8364,366.9173,-4.851387,-15.91662,,,,,,,
1-6-2021-16:28:09,42.18793,93.00854,111.752,366.6405,-5.046744,-16.55756,,,,,,,
1-6-2021-16:28:10,43.80241,96.56787,111.6668,366.3609,-5.046744,-16.55756,,,,,,,
1-6-2021-16:28:11,43.66787,96.27124,111.5816,366.0814,-5.144423,-16.87803,,,,,,,
1-6-2021-16:28:12,44.8787,98.94067,111.491,365.7841,-5.242102,-17.1985,,,,,,,
1-6-2021-16:28:13,44.34056,97.75427,111.3936,365.4645,-5.893295,-19.33496,,,,,,,
1-6-2021-16:28:14,91.69862,202.161,111.377,365.4102,-2.60477e-1,-8.54584e-1,,,,,,,
1-6-2021-16:28:15,42.18793,93.00854,111.6139,366.1873,11.16796,36.64028,,,,,,,
1-6-2021-16:28:16,34.11552,75.21191,111.9824,367.3962,21.6196,70.93045,,,,,,,
1-6-2021-16:28:17,8.8415e-1,1.949219,112.3251,368.5205,21.55448,70.7168,,,,,,,
1-6-2021-16:28:18,-2.613913,-5.762695,112.328,368.5303,-1.269826,-4.166096,,,,,,,
1-6-2021-16:28:19,-2.748462,-6.059326,112.3242,368.5179,1.30239e-1,4.27292e-1,,,,,,,
1-6-2021-16:28:20,9.225603,20.33899,112.3427,368.5784,2.376854,7.798077,,,,,,,
1-6-2021-16:28:21,-1.672122,-3.686401,112.343,368.5793,-6.83752e-1,-2.243282,,,,,,,
1-6-2021-16:28:22,17.02891,37.54236,112.3438,368.582,3.25596e-1,1.06823,,,,,,,
1-6-2021-16:28:23,26.71581,58.89832,112.3321,368.5437,2.93037e-1,9.61407e-1,,,,,,,
1-6-2021-16:28:24,-3.286604,-7.245728,112.3286,368.5321,-1.530303,-5.020679,,,,,,,
1-6-2021-16:28:25,-2.883011,-6.355957,112.3302,368.5375,3.58156e-1,1.175053,,,,,,,
1-6-2021-16:28:26,23.75594,52.37292,112.3283,368.5312,-1.497743,-4.913857,,,,,,,
1-6-2021-16:28:27,4.920355,10.84753,112.328,368.5303,1.204707,3.95245,,,,,,,
